종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
대한광통신,010170,KOSDAQ,제외,67.02868636739603,4.13,16750.0,18040.0,3797.6,14.88,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,1336.3176491,10.340003129529336,18230.0,18410.0,2026-09-18T10:00:00+09:00
성호전자,043260,KOSDAQ,제외,65.50823442441167,4.98,22950.0,24600.0,1502.5,31.49,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,631.803545,25.773858881396038,25150.0,25750.0,2026-09-18T10:00:00+09:00
삼화콘덴서,001820,KOSPI,제외,81.41895231173477,1.44,147400.0,147400.0,1062.9,4.4,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,649.153806,6.674768292481357,150800.0,147900.0,2026-09-18T10:00:00+09:00
우리로,046970,KOSDAQ,제외,75.76342121569016,2.66,7380.0,8470.0,1114.4,113.85,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,177.1666387,27.449822895935494,8890.0,8270.0,2026-09-18T10:00:00+09:00
대원전선,006340,KOSPI,제외,78.73003707408597,3.62,13070.0,14025.0,863.5,11.09,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,340.6844155,11.043132321648837,14230.0,13910.0,2026-09-18T10:00:00+09:00
파미셀,005690,KOSPI,제외,68.16406948070684,2.73,12760.0,13280.0,861.0,70.21,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,171.8106069,19.935217894956104,13820.0,12970.0,2026-09-18T10:00:00+09:00
금호전기,001210,KOSPI,제외,81.32201613016568,1.52,11360.0,11705.0,248.8,1.46,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,588.6877716,9.294976308706106,11750.0,11820.0,2026-09-18T10:00:00+09:00
KBI메탈,024840,KOSDAQ,제외,64.53220687079911,3.68,6050.0,6730.0,631.4,19.51,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,153.7481673,14.676972270534963,6920.0,6510.0,2026-09-18T10:00:00+09:00
한라캐스트,125490,KOSDAQ,제외,71.08003309622242,3.6,11400.0,11970.0,324.1,11.18,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,323.9946292,30.980549123080543,12870.0,12580.0,2026-09-18T10:00:00+09:00
엑스게이트,356680,KOSDAQ,제외,65.06052912920912,0.47,17700.0,17580.0,548.4,32.89,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,62.7530286,7.94779413762268,18440.0,17590.0,2026-09-18T10:00:00+09:00
인제니아테라퓨틱스(Reg.S),950260,KOSDAQ,제외,64.73080937549892,2.84,18490.0,19350.0,524.8,4.55,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,81.6504084,1.1212069668774736,20400.0,18360.0,2026-09-18T10:00:00+09:00
광전자,017900,KOSPI,제외,69.66634242653211,0.92,11150.0,10470.0,421.7,12.76,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,142.445128,11.059385457571423,10850.0,10640.0,2026-09-18T10:00:00+09:00
RFHIC,218410,KOSDAQ,제외,65.18054553326598,4.27,54700.0,58100.0,347.7,8.88,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,135.091272,5.421526248408892,59500.0,59900.0,2026-09-18T10:00:00+09:00
GS건설,006360,KOSPI,제외,77.31295905352526,1.42,37250.0,38950.0,409.9,2.7,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,97.300384,1.091140045085325,39350.0,38300.0,2026-09-18T10:00:00+09:00
비츠로테크,042370,KOSDAQ,제외,54.5655974687143,3.87,11440.0,11390.0,277.4,112.06,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,129.2784264,88.35703593666142,11970.0,11460.0,2026-09-18T10:00:00+09:00
RF머트리얼즈,327260,KOSDAQ,제외,72.93699269664774,1.48,49500.0,48350.0,351.8,4.78,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,81.571039,2.322956794436776,50800.0,48700.0,2026-09-18T10:00:00+09:00
우리기술,032820,KOSDAQ,제외,77.96468027781805,1.28,13770.0,13820.0,287.3,2.44,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,97.029803,1.6731773279145523,13930.0,13780.0,2026-09-18T10:00:00+09:00
지엔씨에너지,119850,KOSDAQ,제외,80.03922349128534,1.96,54400.0,52600.0,143.6,1.95,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,178.304406,4.595522942381607,54100.0,53700.0,2026-09-18T10:00:00+09:00
LS에코에너지,229640,KOSPI,일치,70.11421351084815,2.67,55200.0,60800.0,281.2,43.32,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,101.56902,20.96544028391241,62000.0,60900.0,2026-09-18T10:00:00+09:00
아이씨티케이,456010,KOSDAQ,제외,63.754940126594605,4.21,20550.0,22800.0,310.0,49.33,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,32.623402,10.565799305110422,24800.0,22850.0,2026-09-18T10:00:00+09:00
일진전기,103590,KOSPI,일치,69.95368387786331,3.95,71400.0,76200.0,227.5,5.22,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,131.43794,6.6878230560716405,77200.0,76600.0,2026-09-18T10:00:00+09:00
빛샘전자,072950,KOSDAQ,제외,47.19705141040744,2.15,14800.0,13490.0,298.0,56.67,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,56.4933514,24.374441611283252,14420.0,13630.0,2026-09-18T10:00:00+09:00
SK이터닉스,475150,KOSPI,제외,81.70912158396352,2.06,49950.0,51100.0,197.0,0.97,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,135.38629,1.66026137183741,51200.0,51500.0,2026-09-18T10:00:00+09:00
하나마이크론,067310,KOSDAQ,제외,53.74131291989661,3.26,38900.0,38250.0,251.9,2.25,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,53.163216,0.948111241604257,39000.0,38100.0,2026-09-18T10:00:00+09:00
후성,093370,KOSPI,제외,63.252884353436556,0.09,15390.0,14910.0,157.0,1.99,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,120.349698,2.561762934280386,15130.0,14600.0,2026-09-18T10:00:00+09:00
아모텍,052710,KOSDAQ,제외,81.57029474109683,2.34,16490.0,18030.0,225.9,19.82,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,95.129775,17.76373570620904,18800.0,17550.0,2026-09-18T10:00:00+09:00
금호건설,002990,KOSPI,제외,89.7326243600186,0.71,13690.0,14190.0,152.8,0.87,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,134.2842608,1.9739548421560367,14250.0,13840.0,2026-09-18T10:00:00+09:00
스피어,347700,KOSDAQ,제외,56.937804931846685,3.0,24950.0,23800.0,231.8,7.71,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,39.502159,2.2190738749144967,24950.0,23900.0,2026-09-18T10:00:00+09:00
미투온,201490,KOSDAQ,제외,61.595321607414974,2.21,4800.0,4210.0,201.4,19.41,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,70.07406,26.986212094273395,4800.0,4200.0,2026-09-18T10:00:00+09:00
빛과전자,069540,KOSDAQ,제외,59.66818836049608,-0.39,4420.0,4145.0,202.2,2.42,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,59.9378486,2.096359237668324,4265.0,4165.0,2026-09-18T10:00:00+09:00
우리넷,115440,KOSDAQ,제외,62.79413636811108,1.39,9860.0,10060.0,248.4,153.93,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,20.6387,24.28577497035572,10570.0,10000.0,2026-09-18T10:00:00+09:00
심텍,222800,KOSDAQ,제외,66.22189246476296,-0.66,132200.0,126600.0,185.5,0.96,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,59.094084,0.5906069698799269,132200.0,125700.0,2026-09-18T10:00:00+09:00
티엠씨,217590,KOSPI,제외,54.02655124404932,2.75,14340.0,14630.0,191.9,19.45,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,65.1983346,14.877266229763592,14700.0,14490.0,2026-09-18T10:00:00+09:00
PS일렉트로닉스,332570,KOSDAQ,제외,64.19362391651678,2.33,8680.0,9060.0,151.2,2.94,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,100.0388092,4.098167083195715,9140.0,9080.0,2026-09-18T10:00:00+09:00
현대무벡스,319400,KOSDAQ,제외,70.0927396878483,4.11,21750.0,22850.0,154.8,4.06,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,91.3254,5.2116734811412435,22950.0,22800.0,2026-09-18T10:00:00+09:00
쏠리드,050890,KOSDAQ,제외,64.90934155607545,2.82,9740.0,9950.0,207.3,15.54,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,35.3520421,5.2502242429112735,10270.0,9910.0,2026-09-18T10:00:00+09:00
고영,098460,KOSDAQ,제외,83.16988131425583,1.28,28450.0,28350.0,163.6,3.3,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,42.874434,1.754620519067186,30250.0,28200.0,2026-09-18T10:00:00+09:00
로보티즈,108490,KOSDAQ,제외,42.556072132995254,-1.71,316500.0,309500.0,148.1,0.7,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,68.41495,0.7094879394221405,316500.0,307000.0,2026-09-18T10:00:00+09:00
코칩,126730,KOSDAQ,제외,78.22980495288189,1.7,25100.0,24300.0,91.5,6.47,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,136.242189,20.877786483270988,25100.0,24550.0,2026-09-18T10:00:00+09:00
제주반도체,080220,KOSDAQ,제외,74.05150469112412,1.81,73400.0,73600.0,164.1,0.75,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,51.484545,0.5288251246138347,74900.0,73500.0,2026-09-18T10:00:00+09:00
SFA반도체,036540,KOSDAQ,제외,52.388465710222775,2.16,9110.0,8900.0,129.4,6.01,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,70.8603487,4.91303895888294,9090.0,8990.0,2026-09-18T10:00:00+09:00
HPSP,403870,KOSDAQ,제외,64.15648429913654,0.62,54400.0,54000.0,149.6,0.57,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,57.5874,0.44066181547190636,54600.0,53500.0,2026-09-18T10:00:00+09:00
나라스페이스테크놀로지,478340,KOSDAQ,제외,50.4037558685446,5.64,13850.0,13880.0,151.1,141.43,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,21.0621312,55.5763808976973,15110.0,14080.0,2026-09-18T10:00:00+09:00
두산테스나,131970,KOSDAQ,제외,85.5584368462419,2.31,80900.0,85000.0,121.7,2.67,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,93.118032,4.115299817716694,86000.0,84800.0,2026-09-18T10:00:00+09:00
한화엔진,082740,KOSPI,제외,67.43316394674096,1.49,54200.0,52400.0,136.1,1.91,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,54.065733,1.3622700960224878,54200.0,52100.0,2026-09-18T10:00:00+09:00
엔에프씨,265740,KOSDAQ,제외,67.76317948717951,5.1,6800.0,7440.0,109.4,15.6,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,99.6000225,37.4550215496064,7500.0,8250.0,2026-09-18T10:00:00+09:00
한양디지텍,078350,KOSDAQ,제외,51.21189591078066,5.72,22600.0,23500.0,163.7,32.59,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,35.705252,12.730713630884432,24900.0,24400.0,2026-09-18T10:00:00+09:00
원익홀딩스,030530,KOSDAQ,제외,55.712531231899526,1.34,25900.0,25400.0,111.9,2.54,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,69.89448,1.4884784363358385,25950.0,25500.0,2026-09-18T10:00:00+09:00
DL이앤씨,375500,KOSPI,제외,65.03656913087758,0.31,88700.0,88800.0,163.2,2.75,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,38.404716,0.9101126694876694,89000.0,87600.0,2026-09-18T10:00:00+09:00
현대약품,004310,KOSPI,제외,57.86833253608499,0.01,11750.0,10120.0,153.9,1.65,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,30.8844594,0.28128365639546843,10870.0,10170.0,2026-09-18T10:00:00+09:00
LS머트리얼즈,417200,KOSDAQ,제외,61.71738926804668,2.71,13180.0,13660.0,120.4,11.27,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,69.8186321,11.504969953552841,13950.0,13790.0,2026-09-18T10:00:00+09:00
