code,name,market,price,market_cap,quote_time,amount
010170,대한광통신,KOSDAQ,18430,2865600000000.0,2026-09-18T11:50:14+09:00,574059.0
043260,성호전자,KOSDAQ,25800,1946700000000.0,2026-09-18T11:50:17+09:00,243073.0
001820,삼화콘덴서,KOSPI,144300,1500000000000.0,2026-09-18T11:50:14+09:00,192984.0
046970,우리로,KOSDAQ,8280,362900000000.0,2026-09-18T11:50:19+09:00,136977.0
006340,대원전선,KOSPI,13990,1097000000000.0,2026-09-18T11:50:12+09:00,127328.0
005690,파미셀,KOSPI,12860,771700000000.0,2026-09-18T11:50:15+09:00,112764.0
001210,금호전기,KOSPI,11665,145300000000.0,2026-09-18T11:50:14+09:00,93677.0
125490,한라캐스트,KOSDAQ,12360,451200000000.0,2026-09-18T11:50:17+09:00,87559.0
024840,KBI메탈,KOSDAQ,6460,279700000000.0,2026-09-18T11:50:15+09:00,82437.0
017900,광전자,KOSPI,10710,620600000000.0,2026-09-18T11:50:15+09:00,71635.0
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ,18060,893000000000.0,2026-09-18T11:50:18+09:00,71352.0
356680,엑스게이트,KOSDAQ,17570,501500000000.0,2026-09-18T11:50:13+09:00,68953.0
218410,RFHIC,KOSDAQ,61600,1637000000000.0,2026-09-18T11:50:17+09:00,62562.0
006360,GS건설,KOSPI,38150,3264900000000.0,2026-09-18T11:50:13+09:00,55459.0
119850,지엔씨에너지,KOSDAQ,55400,911300000000.0,2026-09-18T11:50:15+09:00,54733.0
032820,우리기술,KOSDAQ,13910,2403400000000.0,2026-09-18T11:50:18+09:00,51548.0
042370,비츠로테크,KOSDAQ,11240,294500000000.0,2026-09-18T11:50:18+09:00,50679.0
327260,RF머트리얼즈,KOSDAQ,48950,880600000000.0,2026-09-18T11:50:17+09:00,49999.0
103590,일진전기,KOSPI,76400,3643200000000.0,2026-09-18T11:50:14+09:00,41229.0
229640,LS에코에너지,KOSPI,61100,1871200000000.0,2026-09-18T11:49:56+09:00,40851.0
456010,아이씨티케이,KOSDAQ,22800,330700000000.0,2026-09-18T11:50:19+09:00,40526.0
475150,SK이터닉스,KOSPI,51300,1747600000000.0,2026-09-18T11:50:15+09:00,39425.0
072950,빛샘전자,KOSDAQ,13520,108900000000.0,2026-09-18T11:50:20+09:00,39282.0
067310,하나마이크론,KOSDAQ,38650,2569900000000.0,2026-09-18T11:50:14+09:00,39061.0
093370,후성,KOSPI,14500,1555200000000.0,2026-09-18T11:49:57+09:00,38690.0
052710,아모텍,KOSDAQ,17120,319800000000.0,2026-09-18T11:50:16+09:00,33783.0
217590,티엠씨,KOSPI,14670,353500000000.0,2026-09-18T11:50:13+09:00,33201.0
002990,금호건설,KOSPI,13700,510500000000.0,2026-09-18T11:49:59+09:00,32286.0
201490,미투온,KOSDAQ,4195,137300000000.0,2026-09-18T11:50:19+09:00,31817.0
347700,스피어,KOSDAQ,23800,1226900000000.0,2026-09-18T11:50:17+09:00,31507.0
069540,빛과전자,KOSDAQ,4160,468800000000.0,2026-09-18T11:50:15+09:00,31228.0
222800,심텍,KOSDAQ,125300,4758200000000.0,2026-09-18T11:50:17+09:00,30984.0
115440,우리넷,KOSDAQ,10000,107900000000.0,2026-09-18T11:50:20+09:00,28305.0
108490,로보티즈,KOSDAQ,306000,4488100000000.0,2026-09-18T11:50:17+09:00,28234.0
332570,PS일렉트로닉스,KOSDAQ,9090,417600000000.0,2026-09-18T11:50:19+09:00,28148.0
319400,현대무벡스,KOSDAQ,22700,2528200000000.0,2026-09-18T11:50:18+09:00,27926.0
050890,쏠리드,KOSDAQ,9980,606400000000.0,2026-09-18T11:50:13+09:00,27754.0
098460,고영,KOSDAQ,28050,1913100000000.0,2026-09-18T11:50:15+09:00,27560.0
036540,SFA반도체,KOSDAQ,8990,1478500000000.0,2026-09-18T11:50:17+09:00,26215.0
126730,코칩,KOSDAQ,24000,210500000000.0,2026-09-18T11:50:19+09:00,26153.0
080220,제주반도체,KOSDAQ,73300,2524700000000.0,2026-09-18T11:50:13+09:00,25667.0
003350,한국화장품제조,KOSPI,15580,353000000000.0,2026-09-18T11:50:13+09:00,24549.0
082740,한화엔진,KOSPI,52200,4355900000000.0,2026-09-18T11:50:00+09:00,24471.0
403870,HPSP,KOSDAQ,53600,4411300000000.0,2026-09-18T11:50:15+09:00,24466.0
478340,나라스페이스테크놀로지,KOSDAQ,13910,160900000000.0,2026-09-18T11:50:20+09:00,23545.0
131970,두산테스나,KOSDAQ,84700,1637000000000.0,2026-09-18T11:50:16+09:00,23310.0
078350,한양디지텍,KOSDAQ,24300,370400000000.0,2026-09-18T11:50:18+09:00,22846.0
030530,원익홀딩스,KOSDAQ,25550,1973400000000.0,2026-09-18T11:50:13+09:00,22251.0
375500,DL이앤씨,KOSPI,87300,3378000000000.0,2026-09-18T11:50:15+09:00,21965.0
265740,엔에프씨,KOSDAQ,8250,147400000000.0,2026-09-18T11:50:19+09:00,21879.0
004310,현대약품,KOSPI,10230,327400000000.0,2026-09-18T11:50:16+09:00,21427.0
417200,LS머트리얼즈,KOSDAQ,13840,936300000000.0,2026-09-18T11:50:19+09:00,21143.0
066970,엘앤에프,KOSPI,111000,4516200000000.0,2026-09-18T11:50:14+09:00,20566.0
483650,달바글로벌,KOSPI,181800,2277200000000.0,2026-09-18T11:49:59+09:00,19995.0
322000,HD현대에너지솔루션,KOSPI,127500,1428000000000.0,2026-09-18T11:50:15+09:00,19591.0
386380,스카이랩스,KOSDAQ,20200,379000000000.0,2026-09-18T11:50:16+09:00,19080.0
027360,아주IB투자,KOSDAQ,3905,473100000000.0,2026-09-18T11:50:19+09:00,18928.0
443670,에스피소프트,KOSDAQ,5750,138100000000.0,2026-09-18T11:50:20+09:00,18384.0
012200,계양전기,KOSPI,4270,116200000000.0,2026-09-18T11:50:15+09:00,17906.0
417030,니어스랩,KOSDAQ,31950,184600000000.0,2026-09-18T11:50:16+09:00,17218.0
160190,하이젠알앤엠,KOSDAQ,26400,815400000000.0,2026-09-18T11:50:14+09:00,16444.0
178320,서진시스템,KOSDAQ,34350,2188900000000.0,2026-09-18T11:50:14+09:00,15552.0
437730,삼현,KOSDAQ,49250,1561600000000.0,2026-09-18T11:50:19+09:00,15256.0
183300,코미코,KOSDAQ,31450,1615400000000.0,2026-09-18T11:50:15+09:00,14940.0
214450,파마리서치,KOSDAQ,330000,3428600000000.0,2026-09-18T11:50:18+09:00,14320.0
083650,비에이치아이,KOSDAQ,64000,1980400000000.0,2026-09-18T11:50:16+09:00,14220.0
161890,한국콜마,KOSPI,149500,3529000000000.0,2026-09-18T11:50:13+09:00,13735.0
290550,디케이티,KOSDAQ,21450,429000000000.0,2026-09-18T11:50:19+09:00,13668.0
090460,비에이치,KOSPI,20200,681000000000.0,2026-09-18T11:50:15+09:00,13432.0
051160,지어소프트,KOSDAQ,12350,191100000000.0,2026-09-18T11:50:16+09:00,13278.0
060370,LS마린솔루션,KOSDAQ,34050,1778700000000.0,2026-09-18T11:50:15+09:00,13272.0
024060,흥구석유,KOSDAQ,13130,197000000000.0,2026-09-18T11:50:18+09:00,12844.0
004020,현대제철,KOSPI,35850,4784000000000.0,2026-09-18T11:50:15+09:00,12625.0
100790,미래에셋벤처투자,KOSDAQ,17840,947700000000.0,2026-09-18T11:50:15+09:00,12503.0
413630,씨피시스템,KOSDAQ,4730,172300000000.0,2026-09-18T11:50:20+09:00,12344.0
010060,OCI홀딩스,KOSPI,207000,3864700000000.0,2026-09-18T11:49:55+09:00,12067.0
138080,오이솔루션,KOSDAQ,27600,341600000000.0,2026-09-18T11:50:20+09:00,11887.0
028300,HLB,KOSDAQ,30700,4089200000000.0,2026-09-18T11:50:17+09:00,11805.0
257720,실리콘투,KOSDAQ,42150,2764000000000.0,2026-09-18T11:50:18+09:00,11616.0
336260,두산퓨얼셀,KOSPI,49800,3261600000000.0,2026-09-18T11:50:15+09:00,11457.0
144960,뉴파워프라즈마,KOSDAQ,10350,452200000000.0,2026-09-18T11:50:14+09:00,11453.0
420770,기가비스,KOSDAQ,109000,1381700000000.0,2026-09-18T11:50:15+09:00,11453.0
452280,한선엔지니어링,KOSDAQ,13730,264300000000.0,2026-09-18T11:50:16+09:00,11433.0
004170,신세계,KOSPI,367500,3471100000000.0,2026-09-18T11:49:57+09:00,11397.0
