,Open,High,Low,Close,Volume
2026-06-29 09:00:00+09:00,429000.0,453000.0,424000.0,445500.0,8334.0
2026-06-29 09:30:00+09:00,446500.0,456000.0,445000.0,451000.0,9174.0
2026-06-29 10:00:00+09:00,450500.0,457500.0,448000.0,454500.0,4662.0
2026-06-29 10:30:00+09:00,454500.0,458500.0,450000.0,456000.0,4090.0
2026-06-29 11:00:00+09:00,456000.0,461500.0,453500.0,458500.0,4667.0
2026-06-29 11:30:00+09:00,458500.0,462000.0,457500.0,462000.0,2162.0
2026-06-29 12:00:00+09:00,461500.0,464000.0,454000.0,462000.0,4206.0
2026-06-29 12:30:00+09:00,462000.0,462000.0,459750.0,460000.0,2120.0
2026-06-29 13:00:00+09:00,459500.0,462000.0,456000.0,458000.0,2480.0
2026-06-29 13:30:00+09:00,458000.0,463500.0,455500.0,462000.0,3479.0
2026-06-29 14:00:00+09:00,462500.0,470000.0,462000.0,466000.0,9895.0
2026-06-29 14:30:00+09:00,466000.0,471000.0,465000.0,470500.0,6657.0
2026-06-30 09:00:00+09:00,467000.0,467000.0,452000.0,452500.0,9254.0
2026-06-30 09:30:00+09:00,452500.0,453500.0,448000.0,449000.0,5082.0
2026-06-30 10:00:00+09:00,448500.0,452500.0,446000.0,452500.0,3717.0
2026-06-30 10:30:00+09:00,452250.0,453500.0,445000.0,449500.0,3926.0
2026-06-30 11:00:00+09:00,449500.0,449500.0,438500.0,440500.0,5711.0
2026-06-30 11:30:00+09:00,441000.0,443000.0,438500.0,439000.0,3629.0
2026-06-30 12:00:00+09:00,439000.0,445500.0,439000.0,444000.0,2188.0
2026-06-30 12:30:00+09:00,444000.0,445500.0,443500.0,444500.0,1857.0
2026-06-30 13:00:00+09:00,444500.0,444500.0,440500.0,440500.0,3603.0
2026-06-30 13:30:00+09:00,441000.0,442000.0,436000.0,439500.0,5982.0
2026-06-30 14:00:00+09:00,440000.0,440000.0,436000.0,437500.0,8023.0
2026-06-30 14:30:00+09:00,437500.0,438000.0,432500.0,433000.0,5931.0
2026-07-01 09:00:00+09:00,439000.0,439000.0,420000.0,431000.0,10628.0
2026-07-01 09:30:00+09:00,431000.0,435000.0,427500.0,431500.0,5115.0
2026-07-01 10:00:00+09:00,431000.0,431500.0,424000.0,426500.0,4802.0
2026-07-01 10:30:00+09:00,427000.0,428500.0,421500.0,422000.0,3006.0
2026-07-01 11:00:00+09:00,422500.0,422500.0,417000.0,419000.0,4253.0
2026-07-01 11:30:00+09:00,419000.0,426000.0,419000.0,420500.0,1693.0
2026-07-01 12:00:00+09:00,421000.0,423500.0,420000.0,420250.0,1971.0
2026-07-01 12:30:00+09:00,420000.0,422500.0,415000.0,416500.0,4317.0
2026-07-01 13:00:00+09:00,416000.0,416500.0,414000.0,415000.0,2863.0
2026-07-01 13:30:00+09:00,415000.0,418500.0,415000.0,416500.0,2140.0
2026-07-01 14:00:00+09:00,416000.0,418000.0,414500.0,415500.0,2978.0
2026-07-01 14:30:00+09:00,415500.0,416500.0,415000.0,415500.0,2937.0
2026-07-02 09:00:00+09:00,417000.0,417000.0,404500.0,404750.0,6441.0
2026-07-02 09:30:00+09:00,404750.0,417000.0,404500.0,412500.0,5542.0
2026-07-02 10:00:00+09:00,413000.0,427500.0,411500.0,424500.0,7403.0
2026-07-02 10:30:00+09:00,424500.0,430500.0,424500.0,427500.0,4423.0
2026-07-02 11:00:00+09:00,427000.0,427500.0,418500.0,419000.0,2520.0
2026-07-02 11:30:00+09:00,419000.0,421500.0,417500.0,419500.0,1560.0
2026-07-02 12:00:00+09:00,419500.0,423000.0,415500.0,417000.0,1391.0
2026-07-02 12:30:00+09:00,416500.0,418000.0,415500.0,417500.0,1332.0
2026-07-02 13:00:00+09:00,417500.0,418000.0,415500.0,417500.0,1300.0
2026-07-02 13:30:00+09:00,417000.0,422000.0,415000.0,422000.0,2827.0
2026-07-02 14:00:00+09:00,422000.0,425500.0,421000.0,421500.0,2712.0
2026-07-02 14:30:00+09:00,421500.0,421500.0,414500.0,414750.0,3598.0
2026-07-03 09:00:00+09:00,418500.0,424500.0,405000.0,409000.0,9780.0
2026-07-03 09:30:00+09:00,408500.0,412000.0,404500.0,404500.0,6884.0
2026-07-03 10:00:00+09:00,405000.0,416000.0,404000.0,408000.0,4645.0
2026-07-03 10:30:00+09:00,408500.0,411000.0,404500.0,405500.0,3453.0
2026-07-03 11:00:00+09:00,406000.0,411000.0,405500.0,410500.0,4547.0
2026-07-03 11:30:00+09:00,410500.0,411000.0,408000.0,409500.0,3769.0
2026-07-03 12:00:00+09:00,410000.0,412000.0,407500.0,412000.0,3439.0
2026-07-03 12:30:00+09:00,411500.0,412500.0,407500.0,412500.0,2312.0
2026-07-03 13:00:00+09:00,412500.0,412500.0,408000.0,410000.0,2050.0
2026-07-03 13:30:00+09:00,410000.0,413500.0,409000.0,413500.0,2212.0
2026-07-03 14:00:00+09:00,414000.0,416000.0,412500.0,414000.0,2490.0
2026-07-03 14:30:00+09:00,414000.0,415000.0,409500.0,412500.0,3515.0
2026-07-06 09:00:00+09:00,415000.0,415500.0,405000.0,405500.0,7254.0
2026-07-06 09:30:00+09:00,405500.0,405500.0,400500.0,400500.0,9967.0
2026-07-06 10:00:00+09:00,400500.0,401000.0,393000.0,393500.0,14616.0
2026-07-06 10:30:00+09:00,393500.0,396000.0,391000.0,391500.0,8376.0
2026-07-06 11:00:00+09:00,392000.0,392500.0,387500.0,387500.0,7996.0
2026-07-06 11:30:00+09:00,387500.0,390500.0,386500.0,390500.0,4634.0
2026-07-06 12:00:00+09:00,390500.0,395000.0,390000.0,394500.0,3839.0
2026-07-06 12:30:00+09:00,394500.0,395000.0,390500.0,392500.0,3683.0
2026-07-06 13:00:00+09:00,392500.0,393500.0,390000.0,392500.0,3318.0
2026-07-06 13:30:00+09:00,392500.0,397500.0,392000.0,396500.0,4809.0
2026-07-06 14:00:00+09:00,396500.0,396500.0,391000.0,392500.0,4643.0
2026-07-06 14:30:00+09:00,392000.0,395000.0,390000.0,393500.0,6429.0
2026-07-07 09:00:00+09:00,393000.0,408000.0,389000.0,404000.0,8056.0
2026-07-07 09:30:00+09:00,403500.0,415000.0,401000.0,410500.0,7404.0
2026-07-07 10:00:00+09:00,410000.0,415500.0,406000.0,407000.0,5694.0
2026-07-07 10:30:00+09:00,405500.0,416500.0,403000.0,411000.0,6121.0
2026-07-07 11:00:00+09:00,411000.0,416500.0,409500.0,410500.0,3614.0
2026-07-07 11:30:00+09:00,411000.0,411000.0,405000.0,406500.0,3346.0
2026-07-07 12:00:00+09:00,406500.0,412000.0,405500.0,406000.0,2954.0
2026-07-07 12:30:00+09:00,406000.0,409500.0,405000.0,406000.0,2599.0
2026-07-07 13:00:00+09:00,406000.0,412000.0,406000.0,407500.0,3788.0
2026-07-07 13:30:00+09:00,407500.0,408500.0,404500.0,404500.0,1803.0
2026-07-07 14:00:00+09:00,404000.0,406000.0,398500.0,403500.0,5351.0
2026-07-07 14:30:00+09:00,403000.0,407000.0,399500.0,404500.0,7786.0
2026-07-08 09:00:00+09:00,403000.0,409000.0,396500.0,401000.0,5104.0
2026-07-08 09:30:00+09:00,400500.0,401000.0,394500.0,397500.0,6129.0
2026-07-08 10:00:00+09:00,397500.0,397500.0,392500.0,393000.0,4135.0
2026-07-08 10:30:00+09:00,393000.0,393000.0,389500.0,390000.0,4949.0
2026-07-08 11:00:00+09:00,390500.0,391000.0,388000.0,390000.0,2918.0
2026-07-08 11:30:00+09:00,390500.0,390500.0,387500.0,389000.0,1653.0
2026-07-08 12:00:00+09:00,389000.0,392500.0,389000.0,391000.0,1217.0
2026-07-08 12:30:00+09:00,391000.0,391000.0,387000.0,387000.0,2655.0
2026-07-08 13:00:00+09:00,387500.0,388000.0,381500.0,382500.0,5221.0
2026-07-08 13:30:00+09:00,382000.0,382000.0,378500.0,380000.0,5927.0
2026-07-08 14:00:00+09:00,380000.0,384000.0,378000.0,378500.0,3600.0
2026-07-08 14:30:00+09:00,378000.0,382500.0,378000.0,382500.0,6924.0
2026-07-09 09:00:00+09:00,386000.0,386000.0,377000.0,383000.0,5616.0
2026-07-09 09:30:00+09:00,383500.0,391000.0,383000.0,386500.0,3808.0
2026-07-09 10:00:00+09:00,386500.0,390500.0,386000.0,387000.0,1978.0
2026-07-09 10:30:00+09:00,386500.0,386500.0,379500.0,379500.0,2302.0
2026-07-09 11:00:00+09:00,380000.0,384500.0,378000.0,380000.0,3026.0
2026-07-09 11:30:00+09:00,380500.0,380500.0,368500.0,369000.0,4179.0
2026-07-09 12:00:00+09:00,369000.0,374000.0,364500.0,372500.0,4467.0
2026-07-09 12:30:00+09:00,372500.0,377000.0,372000.0,372500.0,1909.0
2026-07-09 13:00:00+09:00,372250.0,374500.0,368000.0,369500.0,3164.0
2026-07-09 13:30:00+09:00,369500.0,372000.0,368000.0,370500.0,2469.0
2026-07-09 14:00:00+09:00,370000.0,372000.0,367500.0,368000.0,3073.0
2026-07-09 14:30:00+09:00,368000.0,373250.0,366000.0,372000.0,4296.0
2026-07-10 09:00:00+09:00,371500.0,389500.0,371500.0,388000.0,7939.0
2026-07-10 09:30:00+09:00,388000.0,392500.0,383000.0,387500.0,4259.0
2026-07-10 10:00:00+09:00,387500.0,388000.0,384500.0,385500.0,2754.0
2026-07-10 10:30:00+09:00,385000.0,388000.0,384000.0,385500.0,1743.0
2026-07-10 11:00:00+09:00,385500.0,385500.0,383000.0,384500.0,1544.0
2026-07-10 11:30:00+09:00,384500.0,390000.0,384000.0,390000.0,1589.0
2026-07-10 12:00:00+09:00,389500.0,391000.0,388500.0,389500.0,999.0
2026-07-10 12:30:00+09:00,389500.0,390000.0,386000.0,386500.0,1360.0
2026-07-10 13:00:00+09:00,386500.0,388500.0,385000.0,385500.0,1864.0
2026-07-10 13:30:00+09:00,385500.0,385500.0,381500.0,382250.0,2648.0
2026-07-10 14:00:00+09:00,382250.0,385000.0,382000.0,383500.0,2038.0
2026-07-10 14:30:00+09:00,383500.0,388000.0,383000.0,387000.0,2359.0
2026-07-13 09:00:00+09:00,388500.0,400000.0,388000.0,397000.0,3354.0
2026-07-13 09:30:00+09:00,396000.0,398500.0,387000.0,389500.0,3766.0
2026-07-13 10:00:00+09:00,389500.0,394000.0,385000.0,386500.0,3013.0
2026-07-13 10:30:00+09:00,386000.0,390000.0,382000.0,383000.0,3111.0
