,Open,High,Low,Close,Volume
2026-06-25 09:00:00+09:00,65700.0,67400.0,64200.0,64800.0,0
2026-06-25 10:00:00+09:00,64900.0,65200.0,63600.0,63600.0,17348
2026-06-25 11:00:00+09:00,63600.0,64800.0,63200.0,64400.0,6916
2026-06-25 12:00:00+09:00,64400.0,64800.0,63900.0,64200.0,5676
2026-06-25 13:00:00+09:00,64200.0,64400.0,63200.0,64000.0,14404
2026-06-25 14:00:00+09:00,64000.0,64400.0,63500.0,64100.0,14066
2026-06-26 09:00:00+09:00,63600.0,65500.0,63400.0,65000.0,27948
2026-06-26 10:00:00+09:00,64900.0,66500.0,64400.0,66000.0,15296
2026-06-26 11:00:00+09:00,66100.0,66400.0,65000.0,65500.0,15619
2026-06-26 12:00:00+09:00,65300.0,65700.0,64700.0,65700.0,16398
2026-06-26 13:00:00+09:00,65600.0,66700.0,65600.0,66300.0,17790
2026-06-26 14:00:00+09:00,66300.0,67400.0,66200.0,66600.0,23144
2026-06-29 09:00:00+09:00,66200.0,72700.0,65900.0,71200.0,0
2026-06-29 10:00:00+09:00,71000.0,71800.0,70200.0,71200.0,12507
2026-06-29 11:00:00+09:00,71100.0,71400.0,70400.0,70800.0,9695
2026-06-29 12:00:00+09:00,70700.0,71600.0,70600.0,70800.0,5555
2026-06-29 13:00:00+09:00,70700.0,71000.0,70100.0,70700.0,4404
2026-06-29 14:00:00+09:00,70700.0,71300.0,70000.0,71200.0,7881
2026-06-30 09:00:00+09:00,70400.0,72400.0,69900.0,71800.0,9457
2026-06-30 10:00:00+09:00,71700.0,71800.0,69600.0,70300.0,8199
2026-06-30 11:00:00+09:00,70200.0,70600.0,69300.0,69600.0,4436
2026-06-30 12:00:00+09:00,69300.0,69600.0,69000.0,69600.0,3125
2026-06-30 13:00:00+09:00,69500.0,69600.0,68200.0,69000.0,5070
2026-06-30 14:00:00+09:00,68800.0,69500.0,68300.0,69200.0,8268
2026-07-01 09:00:00+09:00,68600.0,77000.0,68600.0,76200.0,48144
2026-07-01 10:00:00+09:00,76200.0,78700.0,73200.0,76800.0,36558
2026-07-01 11:00:00+09:00,76700.0,77600.0,75000.0,76400.0,13927
2026-07-01 12:00:00+09:00,76400.0,77500.0,76300.0,76900.0,9899
2026-07-01 13:00:00+09:00,76900.0,78800.0,76300.0,77800.0,13464
2026-07-01 14:00:00+09:00,77600.0,83000.0,77200.0,79900.0,23861
2026-07-02 09:00:00+09:00,79500.0,86800.0,79100.0,86500.0,75611
2026-07-02 10:00:00+09:00,86700.0,88000.0,85900.0,87700.0,44645
2026-07-02 11:00:00+09:00,87700.0,87800.0,82900.0,85000.0,18066
2026-07-02 12:00:00+09:00,84500.0,86200.0,84300.0,85500.0,15761
2026-07-02 13:00:00+09:00,85100.0,86000.0,82600.0,84100.0,17363
2026-07-02 14:00:00+09:00,83500.0,85900.0,82100.0,85100.0,40823
2026-07-03 09:00:00+09:00,84400.0,85000.0,80500.0,81700.0,19911
2026-07-03 10:00:00+09:00,81700.0,85700.0,81400.0,83800.0,22583
2026-07-03 11:00:00+09:00,83800.0,84900.0,83100.0,84100.0,14170
2026-07-03 12:00:00+09:00,84200.0,84900.0,82900.0,83700.0,12299
2026-07-03 13:00:00+09:00,83700.0,84100.0,81300.0,83800.0,15159
2026-07-03 14:00:00+09:00,83700.0,84500.0,81900.0,82800.0,20904
2026-07-06 09:00:00+09:00,82000.0,87000.0,82000.0,85800.0,0
2026-07-06 10:00:00+09:00,85800.0,86400.0,84400.0,85100.0,10950
2026-07-06 11:00:00+09:00,84900.0,85800.0,83400.0,83900.0,9017
2026-07-06 12:00:00+09:00,84000.0,84900.0,83500.0,84200.0,6117
2026-07-06 13:00:00+09:00,84300.0,85800.0,84100.0,85600.0,9197
2026-07-06 14:00:00+09:00,85600.0,85800.0,82600.0,83800.0,11180
2026-07-07 09:00:00+09:00,82000.0,90600.0,81600.0,87100.0,60306
2026-07-07 10:00:00+09:00,87100.0,89200.0,85200.0,88100.0,17198
2026-07-07 11:00:00+09:00,88100.0,88200.0,86500.0,86600.0,8677
2026-07-07 12:00:00+09:00,86700.0,87600.0,84400.0,84900.0,27519
2026-07-07 13:00:00+09:00,84800.0,85800.0,82000.0,82300.0,13712
2026-07-07 14:00:00+09:00,82200.0,85300.0,81500.0,83600.0,25046
2026-07-08 09:00:00+09:00,85100.0,85400.0,79400.0,82900.0,18481
2026-07-08 10:00:00+09:00,82900.0,83000.0,80400.0,80800.0,7466
2026-07-08 11:00:00+09:00,80700.0,83000.0,80100.0,82000.0,7711
2026-07-08 12:00:00+09:00,82100.0,83200.0,81900.0,82600.0,8913
2026-07-08 13:00:00+09:00,82600.0,82700.0,80100.0,81300.0,10313
2026-07-08 14:00:00+09:00,81300.0,81800.0,80100.0,80500.0,10949
2026-07-09 09:00:00+09:00,81600.0,84300.0,78200.0,84000.0,24197
2026-07-09 10:00:00+09:00,84000.0,84000.0,79000.0,81700.0,10849
2026-07-09 11:00:00+09:00,81700.0,84200.0,80650.0,81900.0,11325
2026-07-09 12:00:00+09:00,81900.0,83000.0,81300.0,82900.0,13111
2026-07-09 13:00:00+09:00,82800.0,82800.0,81000.0,81900.0,9754
2026-07-09 14:00:00+09:00,81900.0,82500.0,81000.0,82400.0,9752
2026-07-10 09:00:00+09:00,85600.0,89300.0,82200.0,84400.0,19509
2026-07-10 10:00:00+09:00,84400.0,85400.0,83300.0,84900.0,10884
2026-07-10 11:00:00+09:00,85000.0,85200.0,83200.0,84000.0,6587
2026-07-10 12:00:00+09:00,84000.0,84500.0,83700.0,84000.0,6484
2026-07-10 13:00:00+09:00,84300.0,85000.0,82800.0,83700.0,7327
2026-07-10 14:00:00+09:00,83600.0,83900.0,82600.0,83500.0,9297
2026-07-13 09:00:00+09:00,87300.0,94900.0,86300.0,90500.0,10639
2026-07-13 10:00:00+09:00,90600.0,90800.0,86200.0,86700.0,28421
2026-07-13 11:00:00+09:00,86800.0,88100.0,86200.0,86200.0,16118
2026-07-13 12:00:00+09:00,86300.0,86600.0,85400.0,86300.0,18549
2026-07-13 13:00:00+09:00,86200.0,86400.0,84600.0,84900.0,9555
2026-07-13 14:00:00+09:00,85500.0,91800.0,84500.0,88400.0,39835
2026-07-14 09:00:00+09:00,87600.0,88300.0,81500.0,82000.0,34580
2026-07-14 10:00:00+09:00,82100.0,82900.0,80600.0,82200.0,16914
2026-07-14 11:00:00+09:00,82400.0,82500.0,80100.0,80700.0,12403
2026-07-14 12:00:00+09:00,80700.0,81000.0,79300.0,80300.0,8731
2026-07-14 13:00:00+09:00,80400.0,82000.0,79700.0,81700.0,7279
2026-07-14 14:00:00+09:00,81600.0,83900.0,81300.0,82900.0,12971
2026-07-15 09:00:00+09:00,80400.0,82000.0,78400.0,79600.0,21467
2026-07-15 10:00:00+09:00,79600.0,79700.0,78400.0,79100.0,15209
2026-07-15 11:00:00+09:00,79000.0,81100.0,78800.0,80600.0,9597
2026-07-15 12:00:00+09:00,80600.0,81400.0,80500.0,81200.0,6159
2026-07-15 13:00:00+09:00,81100.0,82300.0,80800.0,82200.0,7930
2026-07-15 14:00:00+09:00,82200.0,82400.0,81100.0,82300.0,8619
2026-07-16 09:00:00+09:00,82500.0,88800.0,81800.0,85200.0,33359
2026-07-16 10:00:00+09:00,85200.0,85500.0,82300.0,83000.0,12283
2026-07-16 11:00:00+09:00,82800.0,83300.0,81900.0,83200.0,5077
2026-07-16 12:00:00+09:00,83300.0,83800.0,82900.0,83500.0,4577
2026-07-16 13:00:00+09:00,83400.0,84700.0,83200.0,84500.0,4864
2026-07-16 14:00:00+09:00,84500.0,86600.0,82100.0,85200.0,12165
2026-07-20 09:00:00+09:00,84800.0,84800.0,81000.0,81000.0,0
