code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
041510,에스엠,75000.0,0,13,2026-08-04 12:00:00+09:00,1,975000.0,988000.0,False,78600.0,False,76000.0,2026-08-10 14:00:00+09:00,MAX_5D,13000.0
079650,서산,5230.0,0,193,2026-08-11 12:00:00+09:00,6,1009390.0,1137440.5,True,6350.0,False,6050.0,2026-08-12 10:00:00+09:00,STOP,128050.5
067310,하나마이크론,36200.0,0,31,2026-08-13 12:00:00+09:00,8,1122200.0,1254100.0,True,43350.0,False,41050.0,2026-08-18 10:00:00+09:00,STOP_GAP,131900.0
192820,코스맥스,257000.0,0,4,2026-08-20 12:00:00+09:00,12,1028000.0,1139400.0,True,297000.0,False,287000.0,2026-08-26 14:00:00+09:00,MAX_5D,111400.0
356680,엑스게이트,12330.0,0,112,2026-08-28 12:00:00+09:00,18,1380960.0,1286880.0,False,13280.0,False,12150.0,2026-08-31 09:00:00+09:00,STOP_GAP,-94080.0
014950,삼익제약,5330.0,0,242,2026-08-31 12:00:00+09:00,19,1289860.0,1493382.0,True,6820.0,False,6600.0,2026-09-01 11:00:00+09:00,STOP,203522.0
064290,인텍플러스,40200.0,0,37,2026-09-04 12:00:00+09:00,23,1487400.0,1608210.0,True,45000.0,False,44375.0,2026-09-09 10:00:00+09:00,STOP,120810.0
024060,흥구석유,12140.0,0,132,2026-09-09 11:00:00+09:00,26,1602480.0,1866381.0,True,15710.0,False,15290.0,2026-09-10 11:00:00+09:00,STOP,263901.0
252990,샘씨엔에스,13910.0,0,135,2026-09-10 14:00:00+09:00,27,1877850.0,2068457.0,True,16150.0,False,15770.0,2026-09-14 09:00:00+09:00,STOP,190607.0
017900,광전자,9680.0,0,213,2026-09-14 12:00:00+09:00,29,2061840.0,2187510.0,False,10270.0,False,10270.0,2026-09-14 14:00:00+09:00,PERIOD_END,125670.0
