code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
041510,에스엠,75000.0,0,13,2026-08-04 12:00:00+09:00,1,976706.2499999999,960316.5,False,78600.0,True,74000.0,2026-08-06 09:00:00+09:00,TIME_NEXT_OPEN,-16389.749999999884
257720,실리콘투,39000.0,0,25,2026-08-07 09:00:00+09:00,4,976706.2499999999,970798.125,False,40400.0,True,38150.0,2026-08-11 09:00:00+09:00,TIME_NEXT_OPEN,-5908.124999999884
079650,서산,5230.0,0,186,2026-08-11 12:00:00+09:00,6,974482.3649999999,1068185.3985000001,False,5240.0,False,5240.0,2026-08-12 09:00:00+09:00,TARGET,93703.03350000025
067310,하나마이크론,36200.0,0,29,2026-08-13 12:00:00+09:00,8,1051637.15,1152759.135,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,101121.9850000001
192820,코스맥스,257000.0,0,4,2026-08-20 12:00:00+09:00,12,1029798.9999999999,1128821.0999999999,False,274000.0,False,270500.0,2026-08-24 09:00:00+09:00,TARGET,99022.09999999998
003350,한국화장품제조,13720.0,0,92,2026-08-25 12:00:00+09:00,15,1264448.92,1237071.33,False,14940.0,True,13410.0,2026-08-28 09:00:00+09:00,TIME_NEXT_OPEN,-27377.58999999985
356680,엑스게이트,12330.0,0,100,2026-08-28 12:00:00+09:00,18,1235157.75,1146989.25,False,13280.0,False,12150.0,2026-08-31 09:00:00+09:00,STOP_GAP,-88168.5
014950,삼익제약,5330.0,0,216,2026-08-31 12:00:00+09:00,19,1153294.74,1264191.786,False,5600.0,False,5390.0,2026-09-01 09:00:00+09:00,TARGET,110897.04600000009
064290,인텍플러스,40200.0,0,31,2026-09-04 12:00:00+09:00,23,1248380.8499999999,1368421.065,False,43650.0,False,41100.0,2026-09-09 09:00:00+09:00,TARGET,120040.21500000008
024060,흥구석유,12140.0,0,114,2026-09-09 11:00:00+09:00,26,1386381.93,1519691.877,False,12400.0,False,12110.0,2026-09-10 09:00:00+09:00,TARGET,133309.94700000016
252990,샘씨엔에스,13910.0,0,109,2026-09-10 14:00:00+09:00,27,1518843.3324999998,1664890.33425,False,14140.0,False,14010.0,2026-09-11 09:00:00+09:00,TARGET,146047.0017500003
456010,아이씨티케이,17150.0,0,96,2026-09-11 12:00:00+09:00,28,1649281.2,1722101.04,False,18370.0,False,17970.0,2026-09-14 14:00:00+09:00,PERIOD_END,72819.84000000008
