scan,day,code,name,signal_bar,score,pattern,volume_component,extension_atr,trend,breakout,money,hold,rank,status,return_pct,hit,entry_price,target_price,hit_bar,sessions_to_hit,exit_bar,stop_price
2026-08-03 09:00:00+09:00,2026-08-03,058610,에스피지,2026-07-31 14:00:00+09:00,58.7450298969351,base_breakout,33.73265417510708,3.138836772983116,True,True,True,False,1,NO_FILL,,,,,,,,
2026-08-03 11:00:00+09:00,2026-08-03,090360,로보스타,2026-08-03 10:00:00+09:00,65.56824420807224,rebound,46.394846814779896,3.7500882145377568,True,True,True,False,1,TARGET,10.0,True,68200.0,75020.0,2026-08-05 14:00:00+09:00,3.0,2026-08-05 14:00:00+09:00,64790.0
2026-08-03 11:00:00+09:00,2026-08-03,437730,삼현,2026-08-03 10:00:00+09:00,55.08881669416921,base_breakout,29.99776187966468,3.795231248502277,True,True,True,False,2,STOP,-10.99290780141844,False,42300.0,46530.0,,,2026-08-04 09:00:00+09:00,40185.0
2026-08-04 10:00:00+09:00,2026-08-04,226950,올릭스,2026-08-04 09:00:00+09:00,68.44962182647387,base_breakout,70.80409611946146,3.614964844159933,True,True,True,False,1,TARGET,10.0,True,116000.0,127600.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,110200.0
2026-08-04 10:00:00+09:00,2026-08-04,041510,에스엠,2026-08-04 09:00:00+09:00,60.58706153798759,base_breakout,38.87120512583584,3.37635327635328,True,True,True,False,2,OPEN_MARK_TO_MARKET,1.333333333333342,False,75000.0,82500.0,,,,71250.0
2026-08-04 11:00:00+09:00,2026-08-04,028300,HLB,2026-08-04 10:00:00+09:00,71.63812819860205,base_breakout,88.30345141093868,3.5095396729255013,True,True,True,False,1,TARGET,10.0,True,33750.0,37125.0,2026-08-07 14:00:00+09:00,4.0,2026-08-07 14:00:00+09:00,32062.5
2026-08-04 11:00:00+09:00,2026-08-04,090360,로보스타,2026-08-04 10:00:00+09:00,63.70786142330113,base_breakout,50.41667862392195,3.741462573301137,True,True,True,False,2,STOP,-5.000000000000004,False,70700.0,77770.0,,,2026-08-05 09:00:00+09:00,67165.0
2026-08-05 10:00:00+09:00,2026-08-05,090360,로보스타,2026-08-05 09:00:00+09:00,60.70423222606706,base_breakout,19.050780935817173,3.2542882404951365,True,True,True,False,1,TARGET,10.0,True,72200.0,79420.0,2026-08-06 09:00:00+09:00,2.0,2026-08-06 09:00:00+09:00,68590.0
2026-08-05 10:00:00+09:00,2026-08-05,298380,에이비엘바이오,2026-08-05 09:00:00+09:00,56.402022878294375,base_breakout,49.9629679894867,3.7568238213399496,True,True,True,False,2,TARGET,10.0,True,81900.0,90090.0,2026-08-10 09:00:00+09:00,4.0,2026-08-10 09:00:00+09:00,77805.0
2026-08-05 11:00:00+09:00,2026-08-05,082740,한화엔진,2026-08-05 10:00:00+09:00,63.2023882453971,rebound,25.44718323386296,3.70700290275762,True,True,True,False,1,STOP,-5.000000000000004,False,45450.0,49995.0,,,2026-08-06 10:00:00+09:00,43177.5
2026-08-06 12:00:00+09:00,2026-08-06,214450,파마리서치,2026-08-06 11:00:00+09:00,60.69151753100594,base_breakout,28.836049193491352,2.4984615384615387,True,True,True,False,1,STOP,-5.000000000000004,False,396000.0,435600.0,,,2026-08-07 11:00:00+09:00,376200.0
2026-08-06 14:00:00+09:00,2026-08-06,241710,코스메카코리아,2026-08-06 13:00:00+09:00,67.14698246480374,base_breakout,54.61709075165167,3.770714134350498,True,True,True,False,1,TARGET,10.0,True,94400.0,103840.0,2026-08-11 09:00:00+09:00,4.0,2026-08-11 09:00:00+09:00,89680.0
2026-08-06 14:00:00+09:00,2026-08-06,214450,파마리서치,2026-08-06 13:00:00+09:00,61.01066414222928,rebound,17.377298632881264,2.438914027149319,True,True,True,False,2,STOP,-5.000000000000004,False,399500.0,439450.0,,,2026-08-07 11:00:00+09:00,379525.0
2026-08-10 12:00:00+09:00,2026-08-10,036540,SFA반도체,2026-08-10 11:00:00+09:00,70.5486186840994,rebound,45.75987231967292,2.460978342046304,True,True,True,False,1,TARGET,10.0,True,5500.0,6050.0,2026-08-11 09:00:00+09:00,2.0,2026-08-11 09:00:00+09:00,5225.0
2026-08-11 10:00:00+09:00,2026-08-11,058610,에스피지,2026-08-11 09:00:00+09:00,72.79653846153846,base_breakout,100.0,3.5080769230769246,True,True,True,False,1,STOP,-5.000000000000004,False,121200.0,133320.0,,,2026-08-11 10:00:00+09:00,115140.0
2026-08-11 10:00:00+09:00,2026-08-11,336260,두산퓨얼셀,2026-08-11 09:00:00+09:00,64.15180181839911,base_breakout,37.22790195623729,3.222420989862849,True,True,True,False,2,STOP,-5.000000000000004,False,36300.0,39930.0,,,2026-08-12 09:00:00+09:00,34485.0
2026-08-11 11:00:00+09:00,2026-08-11,079650,서산,2026-08-11 10:00:00+09:00,79.04187312774205,rebound,100.0,3.0433528987745864,True,True,True,True,1,TARGET,10.0,True,5090.0,5599.0,2026-08-12 09:00:00+09:00,2.0,2026-08-12 09:00:00+09:00,4835.5
2026-08-11 12:00:00+09:00,2026-08-11,079650,서산,2026-08-11 11:00:00+09:00,80.01099879465264,rebound,100.0,3.623130715438408,True,True,True,True,1,TARGET,10.0,True,5230.0,5753.0,2026-08-12 09:00:00+09:00,2.0,2026-08-12 09:00:00+09:00,4968.5
2026-08-12 11:00:00+09:00,2026-08-12,131970,두산테스나,2026-08-12 10:00:00+09:00,71.64497758604368,base_breakout,81.40952433206789,3.2771122320302637,True,True,True,False,1,TARGET,10.0,True,76800.0,84480.0,2026-08-12 13:00:00+09:00,1.0,2026-08-12 13:00:00+09:00,72960.0
2026-08-12 12:00:00+09:00,2026-08-12,204270,제이앤티씨,2026-08-12 11:00:00+09:00,73.171014500594,base_breakout,88.74798634335079,3.5257612931158877,True,True,True,False,1,TARGET,10.0,True,16540.0,18194.0,2026-08-13 09:00:00+09:00,2.0,2026-08-13 09:00:00+09:00,15713.0
2026-08-12 13:00:00+09:00,2026-08-12,024060,흥구석유,2026-08-12 12:00:00+09:00,63.46016588347597,base_breakout,21.473344858143264,3.846855699045479,True,True,True,False,1,STOP,-5.000000000000004,False,11280.0,12408.0,,,2026-08-13 09:00:00+09:00,10716.0
2026-08-13 09:00:00+09:00,2026-08-13,006340,대원전선,2026-08-12 14:00:00+09:00,60.612406634436105,base_breakout,33.91134430880485,2.774684270952928,True,True,True,False,1,STOP,-5.000000000000004,False,15420.0,16962.0,,,2026-08-14 09:00:00+09:00,14649.0
2026-08-13 10:00:00+09:00,2026-08-13,067310,하나마이크론,2026-08-13 09:00:00+09:00,73.65393011514212,base_breakout,77.05594478239814,2.865694234209439,True,True,True,False,1,TARGET,10.0,True,36200.0,39820.0,2026-08-18 09:00:00+09:00,3.0,2026-08-18 09:00:00+09:00,34390.0
2026-08-18 10:00:00+09:00,2026-08-18,064290,인텍플러스,2026-08-18 09:00:00+09:00,66.62356336540843,base_breakout,57.84176223647136,2.7661290322580645,True,True,True,False,1,STOP,-5.000000000000004,False,36000.0,39600.0,,,2026-08-18 11:00:00+09:00,34200.0
2026-08-18 11:00:00+09:00,2026-08-18,0015N0,아로마티카,2026-08-18 10:00:00+09:00,76.74195308237863,base_breakout,100.0,2.7705946535733763,True,True,True,False,1,STOP,-5.000000000000004,False,10040.0,11044.0,,,2026-08-18 12:00:00+09:00,9538.0
2026-08-19 11:00:00+09:00,2026-08-19,322000,HD현대에너지솔루션,2026-08-19 10:00:00+09:00,76.83926722257154,rebound,100.0,2.8579185520361987,True,True,True,False,1,STOP,-5.000000000000004,False,136200.0,149820.0,,,2026-08-20 09:00:00+09:00,129390.0
2026-08-19 14:00:00+09:00,2026-08-19,336260,두산퓨얼셀,2026-08-19 13:00:00+09:00,70.4440405102865,rebound,43.92876124219324,2.18620893173323,True,True,True,False,1,STOP,-5.000000000000004,False,40450.0,44495.0,,,2026-08-21 09:00:00+09:00,38427.5
2026-08-20 09:00:00+09:00,2026-08-20,101730,위메이드맥스,2026-08-19 14:00:00+09:00,77.92603600654658,rebound,100.0,2.508237861429352,True,True,True,False,1,STOP,-5.000000000000004,False,4960.0,5456.0,,,2026-08-21 09:00:00+09:00,4712.0
2026-08-20 12:00:00+09:00,2026-08-20,001210,금호전기,2026-08-20 11:00:00+09:00,67.92691000090372,base_breakout,69.46881677786406,2.002628871871071,True,True,True,False,1,TARGET,10.0,True,7460.0,8206.0,2026-08-21 09:00:00+09:00,2.0,2026-08-21 09:00:00+09:00,7087.0
