,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,19740.0,19930.0,19400.0,19400.0,0
2026-06-22 10:00:00+09:00,19450.0,19510.0,18900.0,19040.0,20074
2026-06-22 11:00:00+09:00,19040.0,19250.0,18880.0,18880.0,10734
2026-06-22 12:00:00+09:00,18880.0,19130.0,18750.0,18840.0,10327
2026-06-22 13:00:00+09:00,18840.0,18970.0,18680.0,18770.0,10725
2026-06-22 14:00:00+09:00,18790.0,19130.0,18770.0,19000.0,9435
2026-06-23 09:00:00+09:00,18850.0,19130.0,17800.0,17880.0,28588
2026-06-23 10:00:00+09:00,17880.0,18230.0,17720.0,17730.0,21243
2026-06-23 11:00:00+09:00,17730.0,17810.0,17630.0,17740.0,20099
2026-06-23 12:00:00+09:00,17730.0,17730.0,17390.0,17520.0,9363
2026-06-23 13:00:00+09:00,17500.0,17590.0,17380.0,17500.0,6981
2026-06-23 14:00:00+09:00,17430.0,17570.0,17210.0,17250.0,14527
2026-06-24 09:00:00+09:00,16770.0,17670.0,16470.0,16800.0,44927
2026-06-24 10:00:00+09:00,16780.0,17190.0,16550.0,17190.0,17021
2026-06-24 11:00:00+09:00,17170.0,17350.0,16580.0,16640.0,17176
2026-06-24 12:00:00+09:00,16640.0,16770.0,16370.0,16680.0,11856
2026-06-24 13:00:00+09:00,16640.0,16860.0,16500.0,16760.0,11353
2026-06-24 14:00:00+09:00,16770.0,17070.0,16750.0,16800.0,11864
2026-06-25 09:00:00+09:00,16890.0,17590.0,16720.0,16830.0,28028
2026-06-25 10:00:00+09:00,16830.0,16920.0,16330.0,16400.0,10829
2026-06-25 11:00:00+09:00,16360.0,16580.0,16330.0,16470.0,6608
2026-06-25 12:00:00+09:00,16460.0,16460.0,16220.0,16250.0,6816
2026-06-25 13:00:00+09:00,16250.0,16480.0,16190.0,16240.0,15529
2026-06-25 14:00:00+09:00,16240.0,16340.0,16000.0,16260.0,24094
2026-06-26 09:00:00+09:00,16000.0,16270.0,14800.0,15840.0,28312
2026-06-26 10:00:00+09:00,15840.0,16270.0,15600.0,15920.0,23955
2026-06-26 11:00:00+09:00,15960.0,16000.0,15450.0,15530.0,12010
2026-06-26 12:00:00+09:00,15530.0,15530.0,15030.0,15470.0,11031
2026-06-26 13:00:00+09:00,15470.0,15530.0,14990.0,15000.0,17427
2026-06-26 14:00:00+09:00,15100.0,15390.0,14970.0,15190.0,8868
2026-06-29 09:00:00+09:00,15000.0,16890.0,14610.0,16830.0,0
2026-06-29 10:00:00+09:00,16830.0,16890.0,16480.0,16520.0,15056
