,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,12510.0,12725.0,12315.0,12440.0,0
2026-06-22 10:00:00+09:00,12440.0,12535.0,12325.0,12390.0,942373
2026-06-22 11:00:00+09:00,12375.0,12410.0,12330.0,12380.0,201106
2026-06-22 12:00:00+09:00,12370.0,12390.0,12270.0,12345.0,154634
2026-06-22 13:00:00+09:00,12340.0,12425.0,12320.0,12420.0,334684
2026-06-22 14:00:00+09:00,12425.0,12465.0,12310.0,12355.0,267216
2026-06-23 09:00:00+09:00,12220.0,12535.0,12045.0,12060.0,1338142
2026-06-23 10:00:00+09:00,12065.0,12350.0,12045.0,12125.0,1021212
2026-06-23 11:00:00+09:00,12120.0,12200.0,12005.0,12085.0,467838
2026-06-23 12:00:00+09:00,12080.0,12100.0,11895.0,12030.0,296645
2026-06-23 13:00:00+09:00,12065.0,12090.0,11880.0,11890.0,257230
2026-06-23 14:00:00+09:00,11890.0,11900.0,11745.0,11800.0,290465
2026-06-24 09:00:00+09:00,11515.0,11725.0,11240.0,11650.0,3756853
2026-06-24 10:00:00+09:00,11640.0,11695.0,11525.0,11665.0,1168635
2026-06-24 11:00:00+09:00,11665.0,11845.0,11495.0,11500.0,872395
2026-06-24 12:00:00+09:00,11500.0,11775.0,11415.0,11775.0,1286843
2026-06-24 13:00:00+09:00,11765.0,11795.0,11620.0,11715.0,389813
2026-06-24 14:00:00+09:00,11715.0,11920.0,11710.0,11820.0,455948
2026-06-25 09:00:00+09:00,11850.0,12050.0,11655.0,11670.0,2222647
2026-06-25 10:00:00+09:00,11655.0,11790.0,11570.0,11635.0,1027427
2026-06-25 11:00:00+09:00,11630.0,11655.0,11500.0,11625.0,528032
2026-06-25 12:00:00+09:00,11625.0,11675.0,11545.0,11615.0,205187
2026-06-25 13:00:00+09:00,11610.0,11665.0,11490.0,11500.0,466118
2026-06-25 14:00:00+09:00,11505.0,11530.0,11360.0,11365.0,382683
2026-06-26 09:00:00+09:00,11380.0,11395.0,10855.0,10915.0,2111285
2026-06-26 10:00:00+09:00,10905.0,11085.0,10850.0,10900.0,1007138
2026-06-26 11:00:00+09:00,10890.0,10980.0,10550.0,10580.0,842096
2026-06-26 12:00:00+09:00,10570.0,10595.0,10415.0,10570.0,459336
2026-06-26 13:00:00+09:00,10560.0,10690.0,10520.0,10590.0,606144
2026-06-26 14:00:00+09:00,10585.0,10770.0,10560.0,10725.0,394355
2026-06-29 09:00:00+09:00,10820.0,11135.0,10715.0,11080.0,0
2026-06-29 10:00:00+09:00,11080.0,11210.0,11050.0,11130.0,412039
2026-06-29 11:00:00+09:00,11130.0,11195.0,11017.0,11115.0,173187
2026-06-29 12:00:00+09:00,11115.0,11180.0,11040.0,11130.0,173785
2026-06-29 13:00:00+09:00,11130.0,11160.0,11045.0,11075.0,143380
2026-06-29 14:00:00+09:00,11075.0,11350.0,11055.0,11350.0,150129
2026-06-30 09:00:00+09:00,11125.0,11390.0,10840.0,10925.0,1694840
2026-06-30 10:00:00+09:00,10930.0,11015.0,10860.0,11000.0,675523
2026-06-30 11:00:00+09:00,11000.0,11030.0,10910.0,11005.0,602097
2026-06-30 12:00:00+09:00,11005.0,11120.0,11000.0,11055.0,710657
2026-06-30 13:00:00+09:00,11050.0,11085.0,10990.0,11015.0,380822
2026-06-30 14:00:00+09:00,11020.0,11050.0,10920.0,10935.0,563668
2026-07-01 09:00:00+09:00,11085.0,11635.0,10970.0,11565.0,2284415
2026-07-01 10:00:00+09:00,11565.0,11660.0,11400.0,11600.0,1091343
2026-07-01 11:00:00+09:00,11605.0,11655.0,11380.0,11560.0,1071910
2026-07-01 12:00:00+09:00,11560.0,11630.0,11500.0,11615.0,496447
2026-07-01 13:00:00+09:00,11610.0,11635.0,11540.0,11545.0,484730
2026-07-01 14:00:00+09:00,11545.0,11690.0,11530.0,11600.0,915075
2026-07-02 09:00:00+09:00,11715.0,11957.0,11500.0,11615.0,2251715
2026-07-02 10:00:00+09:00,11620.0,12090.0,11535.0,12075.0,1631386
