,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,17780.0,18145.0,17635.0,18015.0,0
2026-06-22 10:00:00+09:00,18010.0,18140.0,17835.0,17940.0,570044
2026-06-22 11:00:00+09:00,17960.0,17960.0,17765.0,17810.0,109216
2026-06-22 12:00:00+09:00,17825.0,17895.0,17725.0,17725.0,83259
2026-06-22 13:00:00+09:00,17720.0,17795.0,17655.0,17750.0,95910
2026-06-22 14:00:00+09:00,17740.0,17930.0,17715.0,17835.0,118951
2026-06-23 09:00:00+09:00,17720.0,18030.0,17100.0,17105.0,871817
2026-06-23 10:00:00+09:00,17120.0,17315.0,16750.0,16790.0,444424
2026-06-23 11:00:00+09:00,16790.0,16840.0,16680.0,16745.0,315865
2026-06-23 12:00:00+09:00,16740.0,16740.0,16460.0,16705.0,163186
2026-06-23 13:00:00+09:00,16730.0,16765.0,16465.0,16465.0,225357
2026-06-23 14:00:00+09:00,16480.0,16530.0,16320.0,16375.0,97299
2026-06-24 09:00:00+09:00,16160.0,16680.0,16050.0,16580.0,559846
2026-06-24 10:00:00+09:00,16580.0,16770.0,16310.0,16715.0,145362
2026-06-24 11:00:00+09:00,16715.0,16850.0,16190.0,16190.0,254782
2026-06-24 12:00:00+09:00,16185.0,16440.0,16080.0,16440.0,40626
2026-06-24 13:00:00+09:00,16435.0,16460.0,16225.0,16410.0,246182
2026-06-24 14:00:00+09:00,16415.0,16610.0,16365.0,16410.0,130583
2026-06-25 09:00:00+09:00,16695.0,16935.0,16530.0,16542.0,602655
2026-06-25 10:00:00+09:00,16545.0,16705.0,16545.0,16590.0,120676
2026-06-25 11:00:00+09:00,16605.0,16615.0,16440.0,16535.0,27369
2026-06-25 12:00:00+09:00,16545.0,16600.0,16410.0,16485.0,27242
2026-06-25 13:00:00+09:00,16475.0,16500.0,16280.0,16300.0,253177
2026-06-25 14:00:00+09:00,16305.0,16370.0,16175.0,16275.0,289909
2026-06-26 09:00:00+09:00,16115.0,16115.0,15670.0,15680.0,646513
2026-06-26 10:00:00+09:00,15675.0,15940.0,15515.0,15550.0,168788
2026-06-26 11:00:00+09:00,15575.0,15585.0,15010.0,15070.0,172449
2026-06-26 12:00:00+09:00,15050.0,15050.0,14775.0,15030.0,435809
2026-06-26 13:00:00+09:00,15030.0,15100.0,14852.0,14940.0,232528
2026-06-26 14:00:00+09:00,14940.0,15185.0,14895.0,15020.0,171856
2026-06-29 09:00:00+09:00,15150.0,15870.0,14950.0,15835.0,0
2026-06-29 10:00:00+09:00,15835.0,16025.0,15780.0,15920.0,91689
2026-06-29 11:00:00+09:00,15945.0,16050.0,15805.0,15975.0,28675
2026-06-29 12:00:00+09:00,15985.0,16260.0,15985.0,16230.0,26988
2026-06-29 13:00:00+09:00,16265.0,16330.0,16185.0,16225.0,32526
2026-06-29 14:00:00+09:00,16225.0,16580.0,16180.0,16580.0,62178
2026-06-30 09:00:00+09:00,16500.0,16535.0,15930.0,16125.0,717449
2026-06-30 10:00:00+09:00,16095.0,16250.0,15985.0,16195.0,58718
2026-06-30 11:00:00+09:00,16195.0,16195.0,15975.0,16100.0,140902
2026-06-30 12:00:00+09:00,16095.0,16285.0,16085.0,16230.0,187953
2026-06-30 13:00:00+09:00,16240.0,16365.0,16160.0,16345.0,71776
2026-06-30 14:00:00+09:00,16345.0,16355.0,16165.0,16200.0,116515
2026-07-01 09:00:00+09:00,16525.0,16890.0,16225.0,16690.0,459957
2026-07-01 10:00:00+09:00,16685.0,16835.0,16395.0,16470.0,362236
2026-07-01 11:00:00+09:00,16470.0,16605.0,16195.0,16470.0,179429
2026-07-01 12:00:00+09:00,16455.0,16635.0,16450.0,16615.0,64618
2026-07-01 13:00:00+09:00,16610.0,16615.0,16450.0,16465.0,92197
2026-07-01 14:00:00+09:00,16470.0,16565.0,16420.0,16525.0,60418
2026-07-02 09:00:00+09:00,16155.0,16380.0,15685.0,15940.0,166402
2026-07-02 10:00:00+09:00,15950.0,16515.0,15850.0,16450.0,408249
2026-07-02 11:00:00+09:00,16435.0,16450.0,16160.0,16265.0,107735
2026-07-02 12:00:00+09:00,16265.0,16290.0,16070.0,16095.0,144395
2026-07-02 13:00:00+09:00,16095.0,16175.0,15930.0,16125.0,153337
2026-07-02 14:00:00+09:00,16145.0,16205.0,15835.0,15900.0,307368
2026-07-03 09:00:00+09:00,15850.0,15925.0,14950.0,15000.0,162194
2026-07-03 10:00:00+09:00,15010.0,15535.0,14985.0,15465.0,95433
2026-07-03 11:00:00+09:00,15460.0,15665.0,15440.0,15645.0,40773
2026-07-03 12:00:00+09:00,15625.0,15715.0,15485.0,15695.0,32478
2026-07-03 13:00:00+09:00,15705.0,15800.0,15620.0,15715.0,40311
2026-07-03 14:00:00+09:00,15715.0,15910.0,15685.0,15800.0,33079
2026-07-06 09:00:00+09:00,16105.0,16495.0,15935.0,16155.0,0
2026-07-06 10:00:00+09:00,16135.0,16150.0,15735.0,15815.0,210371
2026-07-06 11:00:00+09:00,15820.0,15980.0,15450.0,15575.0,179153
2026-07-06 12:00:00+09:00,15575.0,15760.0,15550.0,15720.0,148255
2026-07-06 13:00:00+09:00,15710.0,15930.0,15630.0,15925.0,73800
2026-07-06 14:00:00+09:00,15905.0,15920.0,15690.0,15860.0,72743
2026-07-07 09:00:00+09:00,15755.0,15755.0,15255.0,15355.0,139703
2026-07-07 10:00:00+09:00,15380.0,15500.0,15120.0,15265.0,102877
2026-07-07 11:00:00+09:00,15265.0,15290.0,15030.0,15030.0,53696
2026-07-07 12:00:00+09:00,15035.0,15140.0,14910.0,14930.0,237415
2026-07-07 13:00:00+09:00,14935.0,15010.0,14810.0,14830.0,80526
2026-07-07 14:00:00+09:00,14830.0,15205.0,14750.0,15165.0,201404
2026-07-08 09:00:00+09:00,14790.0,14935.0,14430.0,14885.0,219334
2026-07-08 10:00:00+09:00,14895.0,14910.0,14440.0,14485.0,256856
2026-07-08 11:00:00+09:00,14475.0,14475.0,14260.0,14345.0,115998
2026-07-08 12:00:00+09:00,14380.0,14475.0,14240.0,14240.0,59172
2026-07-08 13:00:00+09:00,14245.0,14245.0,13830.0,14020.0,300945
2026-07-08 14:00:00+09:00,14030.0,14145.0,13895.0,14115.0,303541
2026-07-09 09:00:00+09:00,14130.0,14480.0,14080.0,14295.0,449294
2026-07-09 10:00:00+09:00,14295.0,14595.0,14130.0,14170.0,190477
2026-07-09 11:00:00+09:00,14160.0,14330.0,13765.0,13790.0,133814
2026-07-09 12:00:00+09:00,13795.0,14125.0,13660.0,14040.0,119582
2026-07-09 13:00:00+09:00,14050.0,14115.0,13915.0,13970.0,47863
2026-07-09 14:00:00+09:00,13955.0,14090.0,13785.0,14085.0,45747
2026-07-10 09:00:00+09:00,14375.0,15150.0,14245.0,15055.0,254753
2026-07-10 10:00:00+09:00,15080.0,15290.0,14985.0,15160.0,79126
2026-07-10 11:00:00+09:00,15160.0,15250.0,15040.0,15200.0,57854
2026-07-10 12:00:00+09:00,15185.0,15250.0,15155.0,15215.0,14662
2026-07-10 13:00:00+09:00,15220.0,15270.0,14972.0,14975.0,43984
2026-07-10 14:00:00+09:00,14980.0,15135.0,14960.0,15105.0,32198
2026-07-13 09:00:00+09:00,14945.0,15340.0,14720.0,14860.0,0
2026-07-13 10:00:00+09:00,14860.0,14895.0,14370.0,14400.0,140345
2026-07-13 11:00:00+09:00,14405.0,14595.0,14285.0,14370.0,63102
2026-07-13 12:00:00+09:00,14370.0,14370.0,14145.0,14160.0,75361
2026-07-13 13:00:00+09:00,14155.0,14160.0,14025.0,14055.0,59527
2026-07-13 14:00:00+09:00,14025.0,14245.0,13945.0,14110.0,90302
2026-07-14 09:00:00+09:00,13960.0,14035.0,13630.0,13940.0,122997
