,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,24285.0,24590.0,23745.0,24165.0,0
2026-06-22 10:00:00+09:00,24185.0,24275.0,23950.0,23995.0,608553
2026-06-22 11:00:00+09:00,23985.0,24035.0,23815.0,23950.0,263525
2026-06-22 12:00:00+09:00,23945.0,23945.0,23750.0,23765.0,210905
2026-06-22 13:00:00+09:00,23765.0,23860.0,23575.0,23715.0,355785
2026-06-22 14:00:00+09:00,23715.0,23925.0,23670.0,23800.0,288852
2026-06-23 09:00:00+09:00,24205.0,25360.0,23890.0,24040.0,2109495
2026-06-23 10:00:00+09:00,24050.0,24285.0,23245.0,23295.0,1120234
2026-06-23 11:00:00+09:00,23285.0,23450.0,22950.0,23205.0,905106
2026-06-23 12:00:00+09:00,23210.0,23220.0,22625.0,23100.0,435707
2026-06-23 13:00:00+09:00,23100.0,23125.0,22585.0,22600.0,405777
2026-06-23 14:00:00+09:00,22600.0,22750.0,22405.0,22475.0,373132
2026-06-24 09:00:00+09:00,22065.0,22120.0,21275.0,21960.0,1770513
2026-06-24 10:00:00+09:00,21965.0,21970.0,21510.0,21955.0,755682
2026-06-24 11:00:00+09:00,21945.0,22215.0,21345.0,21345.0,785698
2026-06-24 12:00:00+09:00,21340.0,21525.0,20965.0,21500.0,774841
2026-06-24 13:00:00+09:00,21492.0,21550.0,21100.0,21425.0,327848
2026-06-24 14:00:00+09:00,21420.0,21735.0,21400.0,21540.0,549082
2026-06-25 09:00:00+09:00,22320.0,22540.0,21680.0,22020.0,1492974
2026-06-25 10:00:00+09:00,22015.0,22110.0,21500.0,21550.0,595632
2026-06-25 11:00:00+09:00,21550.0,21630.0,21430.0,21475.0,317937
2026-06-25 12:00:00+09:00,21475.0,21570.0,21380.0,21470.0,189052
2026-06-25 13:00:00+09:00,21470.0,21495.0,21320.0,21320.0,271052
2026-06-25 14:00:00+09:00,21340.0,21430.0,21200.0,21290.0,511651
2026-06-26 09:00:00+09:00,21230.0,21305.0,20220.0,20220.0,1540874
2026-06-26 10:00:00+09:00,20230.0,20575.0,20030.0,20080.0,883028
2026-06-26 11:00:00+09:00,20090.0,20130.0,19455.0,19490.0,565623
2026-06-26 12:00:00+09:00,19500.0,19500.0,19110.0,19395.0,532496
2026-06-26 13:00:00+09:00,19395.0,19615.0,19300.0,19415.0,491592
2026-06-26 14:00:00+09:00,19415.0,19925.0,19400.0,19775.0,540549
2026-06-29 09:00:00+09:00,20845.0,21540.0,20260.0,20755.0,0
2026-06-29 10:00:00+09:00,20790.0,21265.0,20625.0,21150.0,923410
2026-06-29 11:00:00+09:00,21150.0,21150.0,20750.0,21025.0,650059
2026-06-29 12:00:00+09:00,21020.0,21275.0,20905.0,21255.0,393982
2026-06-29 13:00:00+09:00,21265.0,21290.0,20925.0,20945.0,325935
2026-06-29 14:00:00+09:00,20950.0,21490.0,20940.0,21475.0,394695
2026-06-30 09:00:00+09:00,22475.0,22500.0,21440.0,21930.0,3525340
2026-06-30 10:00:00+09:00,21930.0,22390.0,21685.0,22275.0,915589
2026-06-30 11:00:00+09:00,22280.0,22335.0,21955.0,22265.0,525921
2026-06-30 12:00:00+09:00,22265.0,22645.0,22245.0,22570.0,629572
2026-06-30 13:00:00+09:00,22580.0,22695.0,22380.0,22685.0,598875
2026-06-30 14:00:00+09:00,22670.0,22830.0,22440.0,22670.0,724667
2026-07-01 09:00:00+09:00,23350.0,25220.0,23350.0,24880.0,3158323
2026-07-01 10:00:00+09:00,24880.0,24995.0,23890.0,24175.0,1373375
2026-07-01 11:00:00+09:00,24175.0,24320.0,23705.0,24245.0,963677
2026-07-01 12:00:00+09:00,24245.0,24400.0,24100.0,24365.0,471331
2026-07-01 13:00:00+09:00,24360.0,24540.0,24250.0,24335.0,468538
2026-07-01 14:00:00+09:00,24325.0,24540.0,24245.0,24520.0,636238
2026-07-02 09:00:00+09:00,23645.0,23780.0,22545.0,22960.0,1952056
2026-07-02 10:00:00+09:00,22935.0,24680.0,22745.0,24625.0,1571134
2026-07-02 11:00:00+09:00,24600.0,24620.0,23605.0,23805.0,896780
2026-07-02 12:00:00+09:00,23810.0,23830.0,23275.0,23340.0,406219
2026-07-02 13:00:00+09:00,23340.0,23470.0,23080.0,23425.0,534913
2026-07-02 14:00:00+09:00,23435.0,23545.0,22890.0,22905.0,660817
2026-07-03 09:00:00+09:00,23725.0,23735.0,20840.0,20925.0,2017998
