,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,7275.0,7275.0,7115.0,7175.0,0
2026-06-22 10:00:00+09:00,7175.0,7175.0,6975.0,7000.0,384778
2026-06-22 11:00:00+09:00,7005.0,7040.0,6990.0,7010.0,121705
2026-06-22 12:00:00+09:00,7000.0,7015.0,6960.0,6980.0,136672
2026-06-22 13:00:00+09:00,6975.0,7015.0,6955.0,7005.0,420827
2026-06-22 14:00:00+09:00,7000.0,7120.0,6985.0,7110.0,137602
2026-06-23 09:00:00+09:00,7095.0,7315.0,7050.0,7170.0,663308
2026-06-23 10:00:00+09:00,7170.0,7320.0,7075.0,7075.0,355748
2026-06-23 11:00:00+09:00,7075.0,7095.0,7000.0,7020.0,177667
2026-06-23 12:00:00+09:00,7020.0,7020.0,6910.0,7015.0,94880
2026-06-23 13:00:00+09:00,7020.0,7040.0,6930.0,6945.0,333634
2026-06-23 14:00:00+09:00,6945.0,6960.0,6900.0,6900.0,72206
2026-06-24 09:00:00+09:00,6890.0,7365.0,6770.0,7345.0,791725
2026-06-24 10:00:00+09:00,7335.0,7535.0,7290.0,7510.0,952555
2026-06-24 11:00:00+09:00,7515.0,7540.0,7210.0,7210.0,713471
2026-06-24 12:00:00+09:00,7210.0,7405.0,7195.0,7340.0,383505
2026-06-24 13:00:00+09:00,7340.0,7400.0,7245.0,7385.0,133882
2026-06-24 14:00:00+09:00,7385.0,7470.0,7350.0,7395.0,264953
2026-06-25 09:00:00+09:00,7370.0,7625.0,7280.0,7450.0,842100
2026-06-25 10:00:00+09:00,7450.0,7505.0,7410.0,7420.0,218924
2026-06-25 11:00:00+09:00,7420.0,7535.0,7370.0,7470.0,475596
2026-06-25 12:00:00+09:00,7470.0,7525.0,7430.0,7480.0,112337
2026-06-25 13:00:00+09:00,7495.0,7510.0,7415.0,7420.0,160695
2026-06-25 14:00:00+09:00,7425.0,7430.0,7325.0,7345.0,170018
2026-06-26 09:00:00+09:00,7405.0,7405.0,6990.0,7215.0,1968104
2026-06-26 10:00:00+09:00,7215.0,7285.0,7070.0,7090.0,454928
2026-06-26 11:00:00+09:00,7105.0,7110.0,6865.0,6885.0,270323
