,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,17275.0,17850.0,17120.0,17840.0,0
2026-06-22 10:00:00+09:00,17845.0,18237.0,17835.0,17950.0,1043781
2026-06-22 11:00:00+09:00,17955.0,18110.0,17935.0,18030.0,403555
2026-06-22 12:00:00+09:00,18030.0,18075.0,17850.0,17955.0,418013
2026-06-22 13:00:00+09:00,17965.0,17995.0,17605.0,17800.0,604270
2026-06-22 14:00:00+09:00,17800.0,17995.0,17760.0,17945.0,471450
2026-06-23 09:00:00+09:00,18080.0,18570.0,17495.0,17765.0,2221680
2026-06-23 10:00:00+09:00,17755.0,17830.0,17015.0,17145.0,915705
2026-06-23 11:00:00+09:00,17155.0,17385.0,17085.0,17287.0,716544
2026-06-23 12:00:00+09:00,17287.0,17305.0,16750.0,17200.0,785968
2026-06-23 13:00:00+09:00,17200.0,17210.0,16735.0,16735.0,714371
2026-06-23 14:00:00+09:00,16735.0,16845.0,16510.0,16555.0,460898
2026-06-24 09:00:00+09:00,16300.0,16880.0,16215.0,16440.0,1724813
2026-06-24 10:00:00+09:00,16455.0,16485.0,16020.0,16450.0,665786
2026-06-24 11:00:00+09:00,16445.0,16475.0,15570.0,15570.0,980220
2026-06-24 12:00:00+09:00,15585.0,15955.0,15460.0,15885.0,687647
2026-06-24 13:00:00+09:00,15885.0,16120.0,15610.0,16090.0,526237
2026-06-24 14:00:00+09:00,16100.0,16515.0,16100.0,16365.0,516916
2026-06-25 09:00:00+09:00,17570.0,17670.0,16875.0,16965.0,1309363
2026-06-25 10:00:00+09:00,16965.0,17230.0,16885.0,17187.0,511504
2026-06-25 11:00:00+09:00,17185.0,17230.0,17035.0,17190.0,205864
2026-06-25 12:00:00+09:00,17195.0,17200.0,17030.0,17145.0,302901
2026-06-25 13:00:00+09:00,17145.0,17305.0,17130.0,17305.0,327237
2026-06-25 14:00:00+09:00,17300.0,17525.0,17245.0,17375.0,475852
2026-06-26 09:00:00+09:00,17165.0,17325.0,16600.0,16785.0,962342
2026-06-26 10:00:00+09:00,16790.0,17090.0,16700.0,16790.0,345209
2026-06-26 11:00:00+09:00,16815.0,16900.0,16225.0,16305.0,502613
2026-06-26 12:00:00+09:00,16300.0,16370.0,15980.0,16360.0,327064
2026-06-26 13:00:00+09:00,16360.0,16435.0,16040.0,16100.0,466174
2026-06-26 14:00:00+09:00,16115.0,16650.0,16115.0,16380.0,506508
2026-06-29 09:00:00+09:00,16420.0,16450.0,15650.0,16110.0,0
2026-06-29 10:00:00+09:00,16100.0,16240.0,15920.0,16080.0,249897
2026-06-29 11:00:00+09:00,16080.0,16100.0,15820.0,15900.0,316734
2026-06-29 12:00:00+09:00,15900.0,16085.0,15707.0,16075.0,407505
2026-06-29 13:00:00+09:00,16065.0,16075.0,15700.0,15800.0,391070
2026-06-29 14:00:00+09:00,15800.0,16395.0,15725.0,16360.0,309627
2026-06-30 09:00:00+09:00,16225.0,16515.0,15830.0,16065.0,562350
2026-06-30 10:00:00+09:00,16130.0,16335.0,15950.0,16310.0,275065
2026-06-30 11:00:00+09:00,16310.0,16555.0,16190.0,16547.0,212906
2026-06-30 12:00:00+09:00,16545.0,16600.0,16495.0,16505.0,220713
2026-06-30 13:00:00+09:00,16505.0,16840.0,16505.0,16735.0,376471
2026-06-30 14:00:00+09:00,16735.0,16810.0,16590.0,16700.0,279836
2026-07-01 09:00:00+09:00,16640.0,16875.0,16245.0,16290.0,984310
2026-07-01 10:00:00+09:00,16290.0,16385.0,16000.0,16010.0,532205
2026-07-01 11:00:00+09:00,16005.0,16200.0,15705.0,16125.0,595000
2026-07-01 12:00:00+09:00,16100.0,16420.0,16085.0,16370.0,196502
2026-07-01 13:00:00+09:00,16360.0,16437.0,16217.0,16310.0,197711
2026-07-01 14:00:00+09:00,16305.0,16385.0,16135.0,16145.0,228441
2026-07-02 09:00:00+09:00,15615.0,15880.0,14670.0,14835.0,2238586
2026-07-02 10:00:00+09:00,14820.0,15400.0,14735.0,15335.0,584794
2026-07-02 11:00:00+09:00,15340.0,15440.0,15140.0,15220.0,278307
2026-07-02 12:00:00+09:00,15220.0,15250.0,14930.0,14935.0,474862
