,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,10865.0,11085.0,10750.0,11005.0,0
2026-06-22 10:00:00+09:00,11005.0,11015.0,10915.0,10920.0,1565706
2026-06-22 11:00:00+09:00,10920.0,10930.0,10857.0,10867.0,1037480
2026-06-22 12:00:00+09:00,10865.0,10920.0,10850.0,10900.0,1431011
2026-06-22 13:00:00+09:00,10900.0,10920.0,10885.0,10910.0,1397605
2026-06-22 14:00:00+09:00,10915.0,11030.0,10900.0,11020.0,1387565
2026-06-23 09:00:00+09:00,10300.0,10390.0,10025.0,10235.0,6691996
2026-06-23 10:00:00+09:00,10235.0,10255.0,10065.0,10120.0,2213046
2026-06-23 11:00:00+09:00,10115.0,10160.0,10065.0,10130.0,1519888
2026-06-23 12:00:00+09:00,10130.0,10135.0,9930.0,10080.0,1878745
2026-06-23 13:00:00+09:00,10080.0,10105.0,10000.0,10000.0,1442641
2026-06-23 14:00:00+09:00,10000.0,10050.0,9875.0,9880.0,1048476
2026-06-24 09:00:00+09:00,10145.0,10430.0,10090.0,10340.0,3262029
2026-06-24 10:00:00+09:00,10335.0,10345.0,10200.0,10265.0,1354666
2026-06-24 11:00:00+09:00,10255.0,10265.0,10010.0,10040.0,921739
2026-06-24 12:00:00+09:00,10025.0,10115.0,9960.0,10100.0,1117892
2026-06-24 13:00:00+09:00,10100.0,10150.0,10005.0,10130.0,497941
2026-06-24 14:00:00+09:00,10130.0,10210.0,10115.0,10160.0,975392
2026-06-25 09:00:00+09:00,9685.0,9855.0,9585.0,9660.0,5174458
2026-06-25 10:00:00+09:00,9660.0,9685.0,9600.0,9630.0,1057413
2026-06-25 11:00:00+09:00,9630.0,9635.0,9590.0,9610.0,700983
2026-06-25 12:00:00+09:00,9610.0,9630.0,9595.0,9625.0,787064
2026-06-25 13:00:00+09:00,9620.0,9625.0,9585.0,9595.0,982359
2026-06-25 14:00:00+09:00,9590.0,9635.0,9570.0,9580.0,1514416
2026-06-26 09:00:00+09:00,9425.0,9500.0,9325.0,9340.0,3662960
2026-06-26 10:00:00+09:00,9345.0,9360.0,9230.0,9250.0,1396610
2026-06-26 11:00:00+09:00,9245.0,9255.0,9105.0,9115.0,1215103
2026-06-26 12:00:00+09:00,9115.0,9190.0,9095.0,9170.0,1087173
2026-06-26 13:00:00+09:00,9175.0,9220.0,9140.0,9150.0,882185
2026-06-26 14:00:00+09:00,9145.0,9225.0,9145.0,9195.0,1001153
2026-06-29 09:00:00+09:00,9745.0,9805.0,9645.0,9705.0,0
2026-06-29 10:00:00+09:00,9700.0,9815.0,9700.0,9805.0,954423
2026-06-29 11:00:00+09:00,9800.0,9825.0,9765.0,9810.0,878194
2026-06-29 12:00:00+09:00,9815.0,9850.0,9805.0,9850.0,537413
2026-06-29 13:00:00+09:00,9850.0,9860.0,9795.0,9810.0,515157
2026-06-29 14:00:00+09:00,9810.0,9855.0,9790.0,9850.0,864045
2026-06-30 09:00:00+09:00,10765.0,10800.0,10625.0,10690.0,4153179
2026-06-30 10:00:00+09:00,10690.0,10730.0,10630.0,10725.0,957668
2026-06-30 11:00:00+09:00,10720.0,10730.0,10675.0,10695.0,554535
2026-06-30 12:00:00+09:00,10700.0,10745.0,10675.0,10740.0,571750
2026-06-30 13:00:00+09:00,10740.0,10810.0,10735.0,10775.0,1400499
2026-06-30 14:00:00+09:00,10780.0,10790.0,10745.0,10755.0,539302
2026-07-01 09:00:00+09:00,11120.0,11220.0,11120.0,11190.0,2242339
2026-07-01 10:00:00+09:00,11190.0,11210.0,11085.0,11100.0,941271
2026-07-01 11:00:00+09:00,11100.0,11105.0,10985.0,11080.0,699349
2026-07-01 12:00:00+09:00,11080.0,11135.0,11060.0,11125.0,407093
2026-07-01 13:00:00+09:00,11130.0,11135.0,11075.0,11082.0,469461
2026-07-01 14:00:00+09:00,11082.0,11130.0,11075.0,11110.0,386651
2026-07-02 09:00:00+09:00,10610.0,10660.0,10570.0,10625.0,1889942
2026-07-02 10:00:00+09:00,10625.0,10730.0,10615.0,10730.0,931368
2026-07-02 11:00:00+09:00,10730.0,10750.0,10705.0,10730.0,329284
2026-07-02 12:00:00+09:00,10730.0,10730.0,10695.0,10710.0,285843
2026-07-02 13:00:00+09:00,10715.0,10715.0,10670.0,10695.0,319499
2026-07-02 14:00:00+09:00,10695.0,10720.0,10650.0,10660.0,610749
