,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,26600.0,29075.0,26550.0,29065.0,0
2026-06-22 10:00:00+09:00,29065.0,29910.0,28715.0,28745.0,16677458
2026-06-22 11:00:00+09:00,28740.0,29335.0,28735.0,28895.0,5335801
2026-06-22 12:00:00+09:00,28910.0,29280.0,28505.0,28695.0,7151243
2026-06-22 13:00:00+09:00,28700.0,28880.0,27380.0,27780.0,15292683
2026-06-22 14:00:00+09:00,27780.0,28595.0,27480.0,28160.0,8353514
2026-06-23 09:00:00+09:00,27820.0,28260.0,25800.0,26620.0,30310276
2026-06-23 10:00:00+09:00,26605.0,27100.0,25280.0,25375.0,15435657
2026-06-23 11:00:00+09:00,25385.0,26270.0,25075.0,25855.0,12055579
2026-06-23 12:00:00+09:00,25850.0,25935.0,24120.0,25255.0,11366371
2026-06-23 13:00:00+09:00,25260.0,25700.0,24200.0,24207.0,11193987
2026-06-23 14:00:00+09:00,24210.0,24627.0,23050.0,23310.0,10276689
2026-06-24 09:00:00+09:00,21905.0,25550.0,21905.0,24680.0,47058313
2026-06-24 10:00:00+09:00,24690.0,24845.0,23575.0,24510.0,22506641
2026-06-24 11:00:00+09:00,24505.0,24740.0,22320.0,22345.0,16643395
2026-06-24 12:00:00+09:00,22350.0,23750.0,22175.0,23600.0,21229114
2026-06-24 13:00:00+09:00,23600.0,24710.0,22805.0,24580.0,14188140
2026-06-24 14:00:00+09:00,24590.0,25500.0,24385.0,24955.0,20138912
2026-06-25 09:00:00+09:00,28165.0,28700.0,27320.0,27705.0,31741371
2026-06-25 10:00:00+09:00,27705.0,28880.0,27490.0,28295.0,16861379
2026-06-25 11:00:00+09:00,28305.0,28500.0,27650.0,28330.0,8286747
2026-06-25 12:00:00+09:00,28335.0,28360.0,27855.0,28200.0,5535909
2026-06-25 13:00:00+09:00,28200.0,28500.0,28015.0,28380.0,8590228
2026-06-25 14:00:00+09:00,28365.0,28870.0,28050.0,28235.0,13832897
2026-06-26 09:00:00+09:00,27700.0,28000.0,25645.0,26085.0,22753561
2026-06-26 10:00:00+09:00,26090.0,26845.0,25070.0,25250.0,13102400
2026-06-26 11:00:00+09:00,25250.0,25420.0,23350.0,23570.0,16475895
2026-06-26 12:00:00+09:00,23570.0,23960.0,22380.0,23925.0,12584058
2026-06-26 13:00:00+09:00,23885.0,24190.0,22805.0,23120.0,15487715
2026-06-26 14:00:00+09:00,23125.0,24885.0,23030.0,23710.0,15601492
2026-06-29 09:00:00+09:00,24135.0,24530.0,22295.0,23280.0,0
2026-06-29 10:00:00+09:00,23285.0,23520.0,22600.0,22840.0,9414141
2026-06-29 11:00:00+09:00,22850.0,22925.0,22390.0,22485.0,6617731
2026-06-29 12:00:00+09:00,22492.0,22890.0,21835.0,22780.0,9268577
2026-06-29 13:00:00+09:00,22780.0,22880.0,21765.0,21875.0,8612592
2026-06-29 14:00:00+09:00,21875.0,24190.0,21800.0,24100.0,15342092
2026-06-30 09:00:00+09:00,23090.0,24635.0,22515.0,23250.0,26696680
2026-06-30 10:00:00+09:00,23260.0,23955.0,22865.0,23785.0,13974522
2026-06-30 11:00:00+09:00,23795.0,24565.0,23470.0,24455.0,8874000
