,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,32410.0,36235.0,32370.0,36210.0,0
2026-06-22 10:00:00+09:00,36230.0,37755.0,35875.0,36430.0,24525835
2026-06-22 11:00:00+09:00,36415.0,37240.0,36375.0,36745.0,11376309
2026-06-22 12:00:00+09:00,36745.0,37500.0,36370.0,37135.0,11999136
2026-06-22 13:00:00+09:00,37125.0,37200.0,35560.0,36200.0,16685265
2026-06-22 14:00:00+09:00,36210.0,36845.0,35840.0,36215.0,11061181
2026-06-23 09:00:00+09:00,37400.0,37775.0,34735.0,35760.0,28001706
2026-06-23 10:00:00+09:00,35765.0,36030.0,32520.0,32705.0,18758675
2026-06-23 11:00:00+09:00,32710.0,33280.0,31880.0,32775.0,16844447
2026-06-23 12:00:00+09:00,32775.0,32890.0,30350.0,32525.0,16163988
2026-06-23 13:00:00+09:00,32510.0,32865.0,29340.0,29345.0,14639782
2026-06-23 14:00:00+09:00,29345.0,30340.0,28050.0,28250.0,10733841
2026-06-24 09:00:00+09:00,28680.0,30930.0,28345.0,30175.0,31432775
2026-06-24 10:00:00+09:00,30180.0,30310.0,28450.0,29705.0,16873517
2026-06-24 11:00:00+09:00,29700.0,29865.0,25885.0,25895.0,15954472
2026-06-24 12:00:00+09:00,25900.0,27445.0,25500.0,26965.0,18874538
2026-06-24 13:00:00+09:00,26980.0,27385.0,25550.0,27325.0,13557941
2026-06-24 14:00:00+09:00,27322.0,29985.0,27320.0,28580.0,18770971
2026-06-25 09:00:00+09:00,34215.0,34350.0,32075.0,32675.0,25639940
2026-06-25 10:00:00+09:00,32695.0,34030.0,32015.0,33775.0,14067922
2026-06-25 11:00:00+09:00,33790.0,34430.0,33355.0,34420.0,8644023
2026-06-25 12:00:00+09:00,34420.0,34920.0,34120.0,34715.0,9039037
2026-06-25 13:00:00+09:00,34725.0,36350.0,34710.0,36185.0,12697921
2026-06-25 14:00:00+09:00,36180.0,37585.0,35640.0,36650.0,22050301
2026-06-26 09:00:00+09:00,34075.0,34800.0,31990.0,32455.0,23024956
2026-06-26 10:00:00+09:00,32460.0,33415.0,31555.0,31865.0,12498591
2026-06-26 11:00:00+09:00,31870.0,32110.0,28920.0,29450.0,17949857
2026-06-26 12:00:00+09:00,29460.0,29780.0,28280.0,29765.0,9768148
2026-06-26 13:00:00+09:00,29775.0,29895.0,27725.0,28435.0,14871965
2026-06-26 14:00:00+09:00,28430.0,31470.0,28420.0,28790.0,22505238
2026-06-29 09:00:00+09:00,28730.0,29025.0,26000.0,28050.0,0
2026-06-29 10:00:00+09:00,28070.0,28860.0,26865.0,27765.0,12066809
2026-06-29 11:00:00+09:00,27755.0,27990.0,26995.0,27230.0,7468427
2026-06-29 12:00:00+09:00,27230.0,27895.0,26420.0,27850.0,12628293
2026-06-29 13:00:00+09:00,27825.0,27890.0,26425.0,26615.0,12407553
2026-06-29 14:00:00+09:00,26615.0,29845.0,26430.0,29625.0,20988529
2026-06-30 09:00:00+09:00,28320.0,29970.0,26605.0,27415.0,19448072
2026-06-30 10:00:00+09:00,27415.0,28645.0,26925.0,28460.0,11939583
2026-06-30 11:00:00+09:00,28490.0,29450.0,27800.0,29310.0,7937925
2026-06-30 12:00:00+09:00,29300.0,29385.0,28555.0,28745.0,7059028
2026-06-30 13:00:00+09:00,28740.0,31115.0,28740.0,30420.0,15804583
2026-06-30 14:00:00+09:00,30405.0,30915.0,29815.0,29970.0,10926020
2026-07-01 09:00:00+09:00,29415.0,30685.0,27290.0,27320.0,20887275
2026-07-01 10:00:00+09:00,27325.0,27960.0,26610.0,26690.0,15160254
2026-07-01 11:00:00+09:00,26690.0,27467.0,25660.0,27055.0,15038030
2026-07-01 12:00:00+09:00,27045.0,28430.0,26860.0,28065.0,12028157
2026-07-01 13:00:00+09:00,28040.0,28400.0,27360.0,27855.0,11023060
2026-07-01 14:00:00+09:00,27855.0,28080.0,27015.0,27255.0,13076737
2026-07-02 09:00:00+09:00,22700.0,23210.0,21595.0,22055.0,25964468
2026-07-02 10:00:00+09:00,22070.0,24135.0,21770.0,24015.0,17859298
2026-07-02 11:00:00+09:00,24015.0,24600.0,23390.0,23730.0,9345062
2026-07-02 12:00:00+09:00,23720.0,23890.0,22575.0,22635.0,7417273
2026-07-02 13:00:00+09:00,22615.0,22800.0,21790.0,22335.0,14110575
