,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,7935.0,7980.0,7110.0,7125.0,0
2026-06-22 10:00:00+09:00,7125.0,7210.0,6770.0,7065.0,34544577
2026-06-22 11:00:00+09:00,7065.0,7080.0,6865.0,6995.0,13491778
2026-06-22 12:00:00+09:00,6990.0,7095.0,6815.0,6935.0,16603933
2026-06-22 13:00:00+09:00,6935.0,7265.0,6890.0,7120.0,29705136
2026-06-22 14:00:00+09:00,7110.0,7195.0,6950.0,7115.0,16884195
2026-06-23 09:00:00+09:00,6860.0,7350.0,6765.0,7145.0,48876594
2026-06-23 10:00:00+09:00,7140.0,7750.0,7085.0,7720.0,38600702
2026-06-23 11:00:00+09:00,7710.0,7865.0,7600.0,7705.0,30287832
2026-06-23 12:00:00+09:00,7705.0,8155.0,7670.0,7750.0,35958083
2026-06-23 13:00:00+09:00,7745.0,8325.0,7690.0,8325.0,36052910
2026-06-23 14:00:00+09:00,8265.0,8575.0,8135.0,8535.0,26602758
2026-06-24 09:00:00+09:00,8375.0,8410.0,7540.0,7845.0,65399460
2026-06-24 10:00:00+09:00,7845.0,8390.0,7795.0,7975.0,40441284
2026-06-24 11:00:00+09:00,7980.0,9195.0,7930.0,9195.0,39878520
2026-06-24 12:00:00+09:00,9195.0,9315.0,8690.0,8850.0,59428205
2026-06-24 13:00:00+09:00,8845.0,9295.0,8710.0,8735.0,38189930
2026-06-24 14:00:00+09:00,8730.0,8730.0,7875.0,8325.0,46183565
2026-06-25 09:00:00+09:00,6630.0,7285.0,6570.0,7105.0,59151953
2026-06-25 10:00:00+09:00,7105.0,7290.0,6705.0,6785.0,33813277
2026-06-25 11:00:00+09:00,6785.0,6890.0,6575.0,6580.0,25762891
2026-06-25 12:00:00+09:00,6580.0,6665.0,6425.0,6490.0,24648538
2026-06-25 13:00:00+09:00,6485.0,6485.0,5995.0,6050.0,30516951
2026-06-25 14:00:00+09:00,6055.0,6210.0,5595.0,5885.0,61128889
2026-06-26 09:00:00+09:00,6445.0,6820.0,6320.0,6735.0,83348016
2026-06-26 10:00:00+09:00,6740.0,6905.0,6560.0,6850.0,39901824
2026-06-26 11:00:00+09:00,6845.0,7360.0,6785.0,7265.0,66598812
2026-06-26 12:00:00+09:00,7265.0,7470.0,7195.0,7200.0,35844887
2026-06-26 13:00:00+09:00,7205.0,7575.0,7170.0,7450.0,45077991
2026-06-26 14:00:00+09:00,7445.0,7450.0,6915.0,7390.0,63745415
2026-06-29 09:00:00+09:00,7400.0,8115.0,7350.0,7615.0,0
2026-06-29 10:00:00+09:00,7605.0,7905.0,7400.0,7685.0,52987206
2026-06-29 11:00:00+09:00,7685.0,7885.0,7620.0,7820.0,27126785
2026-06-29 12:00:00+09:00,7815.0,8020.0,7645.0,7665.0,31680460
2026-06-29 13:00:00+09:00,7670.0,8015.0,7650.0,7975.0,20598103
2026-06-29 14:00:00+09:00,7975.0,8015.0,7145.0,7210.0,41387929
2026-06-30 09:00:00+09:00,7525.0,7990.0,7100.0,7775.0,67768801
2026-06-30 10:00:00+09:00,7770.0,7900.0,7450.0,7500.0,33310170
2026-06-30 11:00:00+09:00,7500.0,7680.0,7240.0,7280.0,22578658
2026-06-30 12:00:00+09:00,7275.0,7475.0,7260.0,7430.0,14948989
2026-06-30 13:00:00+09:00,7430.0,7435.0,6800.0,6990.0,29957026
2026-06-30 14:00:00+09:00,6985.0,7140.0,6850.0,7100.0,28437536
2026-07-01 09:00:00+09:00,7220.0,7800.0,6930.0,7790.0,50823752
2026-07-01 10:00:00+09:00,7785.0,7955.0,7620.0,7955.0,35108787
2026-07-01 11:00:00+09:00,7950.0,8200.0,7750.0,7850.0,34893227
2026-07-01 12:00:00+09:00,7850.0,7905.0,7510.0,7605.0,26942632
2026-07-01 13:00:00+09:00,7610.0,7785.0,7515.0,7655.0,20087903
2026-07-01 14:00:00+09:00,7650.0,7865.0,7600.0,7810.0,22479368
2026-07-02 09:00:00+09:00,9040.0,9470.0,8980.0,9320.0,47954649
2026-07-02 10:00:00+09:00,9325.0,9405.0,8705.0,8750.0,35385697
2026-07-02 11:00:00+09:00,8755.0,8930.0,8565.0,8835.0,32263926
2026-07-02 12:00:00+09:00,8835.0,9180.0,8785.0,9160.0,22885765
2026-07-02 13:00:00+09:00,9160.0,9410.0,9105.0,9240.0,33435267
2026-07-02 14:00:00+09:00,9240.0,9735.0,9110.0,9730.0,35426572
2026-07-03 09:00:00+09:00,10135.0,11495.0,9645.0,11485.0,102224868
2026-07-03 10:00:00+09:00,11480.0,11500.0,9205.0,9250.0,82984810
2026-07-03 11:00:00+09:00,9260.0,9740.0,8960.0,8960.0,48047371
2026-07-03 12:00:00+09:00,9120.0,9525.0,9015.0,9025.0,37153741
2026-07-03 13:00:00+09:00,9020.0,9055.0,7960.0,8080.0,53424915
2026-07-03 14:00:00+09:00,8085.0,8300.0,7515.0,7860.0,78496785
2026-07-06 09:00:00+09:00,7605.0,7955.0,7305.0,7560.0,0
2026-07-06 10:00:00+09:00,7560.0,8295.0,7555.0,8110.0,64513827
2026-07-06 11:00:00+09:00,8105.0,8650.0,7955.0,8370.0,65586346
2026-07-06 12:00:00+09:00,8360.0,8470.0,8105.0,8350.0,39299397
2026-07-06 13:00:00+09:00,8345.0,8560.0,8005.0,8105.0,26416480
2026-07-06 14:00:00+09:00,8115.0,8450.0,8025.0,8070.0,29959697
2026-07-07 09:00:00+09:00,8625.0,9095.0,8310.0,9070.0,67372191
2026-07-07 10:00:00+09:00,9070.0,9485.0,8885.0,9250.0,53822879
2026-07-07 11:00:00+09:00,9250.0,9700.0,9190.0,9645.0,36634478
2026-07-07 12:00:00+09:00,9640.0,9895.0,9425.0,9795.0,39841742
2026-07-07 13:00:00+09:00,9790.0,10160.0,9645.0,10115.0,32176026
2026-07-07 14:00:00+09:00,10050.0,10210.0,9160.0,9280.0,56183799
2026-07-08 09:00:00+09:00,10020.0,10335.0,8230.0,8245.0,94056821
2026-07-08 10:00:00+09:00,8240.0,9145.0,8195.0,9050.0,58508354
2026-07-08 11:00:00+09:00,9050.0,9415.0,8780.0,9130.0,47344103
2026-07-08 12:00:00+09:00,9120.0,9120.0,8570.0,8995.0,28899052
2026-07-08 13:00:00+09:00,8995.0,10205.0,8960.0,9665.0,74770979
2026-07-08 14:00:00+09:00,9670.0,10355.0,9590.0,10030.0,53834950
2026-07-09 09:00:00+09:00,8850.0,9105.0,8420.0,8940.0,71944457
2026-07-09 10:00:00+09:00,8940.0,9450.0,8500.0,9385.0,52606869
2026-07-09 11:00:00+09:00,9390.0,10005.0,8940.0,9860.0,68719097
2026-07-09 12:00:00+09:00,9855.0,10215.0,9305.0,9505.0,62938260
2026-07-09 13:00:00+09:00,9510.0,9885.0,9385.0,9520.0,35327604
2026-07-09 14:00:00+09:00,9500.0,10010.0,9255.0,9275.0,46134468
2026-07-10 09:00:00+09:00,8390.0,9445.0,8360.0,9045.0,70735396
2026-07-10 10:00:00+09:00,9040.0,9200.0,8620.0,9000.0,42476135
2026-07-10 11:00:00+09:00,9000.0,9200.0,8900.0,8925.0,32277315
2026-07-10 12:00:00+09:00,8930.0,9010.0,8670.0,8670.0,21165598
2026-07-10 13:00:00+09:00,8670.0,8785.0,8485.0,8640.0,32842588
2026-07-10 14:00:00+09:00,8635.0,8990.0,8580.0,8910.0,30236909
2026-07-13 09:00:00+09:00,9760.0,10735.0,9595.0,10685.0,0
2026-07-13 10:00:00+09:00,10680.0,11220.0,10575.0,11180.0,41893076
2026-07-13 11:00:00+09:00,11180.0,11390.0,10935.0,11390.0,40642643
2026-07-13 12:00:00+09:00,11390.0,11735.0,11350.0,11640.0,36231794
2026-07-13 13:00:00+09:00,11635.0,11820.0,11560.0,11715.0,13938715
2026-07-13 14:00:00+09:00,11725.0,12000.0,11475.0,11600.0,47805529
2026-07-14 09:00:00+09:00,12250.0,13235.0,11195.0,11385.0,88063029
2026-07-14 10:00:00+09:00,11380.0,12340.0,10955.0,12255.0,57740940
2026-07-14 11:00:00+09:00,12240.0,13490.0,12175.0,13130.0,75745544
2026-07-14 12:00:00+09:00,13130.0,14290.0,12845.0,13110.0,98622033
2026-07-14 13:00:00+09:00,13115.0,13745.0,11640.0,11750.0,61412621
2026-07-14 14:00:00+09:00,11755.0,12130.0,10795.0,11425.0,58614792
2026-07-15 09:00:00+09:00,8860.0,9295.0,8362.0,8480.0,81759810
2026-07-15 10:00:00+09:00,8475.0,9385.0,8445.0,8870.0,74930881
2026-07-15 11:00:00+09:00,8870.0,8885.0,8515.0,8850.0,45634999
2026-07-15 12:00:00+09:00,8855.0,8880.0,8145.0,8235.0,34389974
2026-07-15 13:00:00+09:00,8240.0,8460.0,8160.0,8405.0,34492767
2026-07-15 14:00:00+09:00,8395.0,9270.0,8285.0,8795.0,94348544
2026-07-16 09:00:00+09:00,10760.0,11350.0,10645.0,11255.0,85086018
2026-07-16 10:00:00+09:00,11250.0,11530.0,10995.0,11240.0,84938182
2026-07-16 11:00:00+09:00,11230.0,11435.0,11020.0,11110.0,49355322
2026-07-16 12:00:00+09:00,11110.0,11370.0,11015.0,11215.0,40641051
2026-07-16 13:00:00+09:00,11220.0,11495.0,11205.0,11385.0,29319799
2026-07-16 14:00:00+09:00,11380.0,11415.0,9135.0,11130.0,48061940
2026-07-20 09:00:00+09:00,12280.0,12330.0,10760.0,11530.0,0
2026-07-20 10:00:00+09:00,11530.0,12470.0,11160.0,12265.0,69306764
2026-07-20 11:00:00+09:00,12270.0,12500.0,11880.0,12120.0,57740804
2026-07-20 12:00:00+09:00,12120.0,12330.0,11815.0,12050.0,32101302
