,Open,High,Low,Close,Volume
2026-07-14 09:00:00+09:00,8745.0,8965.0,8495.0,8920.0,0
2026-07-14 10:00:00+09:00,8920.0,9015.0,8695.0,8702.0,2844043
2026-07-14 11:00:00+09:00,8705.0,8727.0,8457.0,8590.0,2266446
2026-07-14 12:00:00+09:00,8585.0,8630.0,8285.0,8595.0,2068234
2026-07-14 13:00:00+09:00,8600.0,8830.0,8470.0,8810.0,1211876
2026-07-14 14:00:00+09:00,8810.0,8950.0,8755.0,8825.0,1570955
2026-07-15 09:00:00+09:00,9555.0,9585.0,9390.0,9500.0,4819244
2026-07-15 10:00:00+09:00,9505.0,9510.0,9335.0,9490.0,1913155
2026-07-15 11:00:00+09:00,9490.0,9560.0,9470.0,9490.0,951472
2026-07-15 12:00:00+09:00,9500.0,9665.0,9495.0,9635.0,546722
2026-07-15 13:00:00+09:00,9635.0,9650.0,9560.0,9585.0,726805
2026-07-15 14:00:00+09:00,9585.0,9600.0,9395.0,9545.0,1041803
2026-07-16 09:00:00+09:00,9290.0,9290.0,8790.0,8810.0,4285818
2026-07-16 10:00:00+09:00,8820.0,8885.0,8730.0,8790.0,1887924
2026-07-16 11:00:00+09:00,8790.0,8915.0,8735.0,8885.0,888545
2026-07-16 12:00:00+09:00,8885.0,8920.0,8805.0,8880.0,608502
2026-07-16 13:00:00+09:00,8875.0,8900.0,8785.0,8805.0,803921
2026-07-16 14:00:00+09:00,8805.0,9540.0,8795.0,8855.0,740340
2026-07-20 09:00:00+09:00,8480.0,8850.0,8410.0,8670.0,0
2026-07-20 10:00:00+09:00,8680.0,8755.0,8465.0,8515.0,1151738
2026-07-20 11:00:00+09:00,8520.0,8610.0,8425.0,8540.0,882201
2026-07-20 12:00:00+09:00,8545.0,8575.0,8462.0,8505.0,720760
2026-07-20 13:00:00+09:00,8505.0,8630.0,8410.0,8570.0,789087
2026-07-20 14:00:00+09:00,8570.0,8575.0,8450.0,8490.0,857066
2026-07-21 09:00:00+09:00,8530.0,8615.0,8360.0,8550.0,1578120
2026-07-21 10:00:00+09:00,8555.0,8770.0,8540.0,8685.0,553579
2026-07-21 11:00:00+09:00,8685.0,8770.0,8640.0,8765.0,410828
2026-07-21 12:00:00+09:00,8760.0,8885.0,8755.0,8870.0,488097
2026-07-21 13:00:00+09:00,8870.0,8890.0,8800.0,8815.0,496195
2026-07-21 14:00:00+09:00,8815.0,8835.0,8715.0,8785.0,538208
2026-07-22 09:00:00+09:00,9245.0,9300.0,9155.0,9190.0,2091877
2026-07-22 10:00:00+09:00,9190.0,9265.0,9165.0,9240.0,556570
2026-07-22 11:00:00+09:00,9235.0,9235.0,9125.0,9130.0,395743
2026-07-22 12:00:00+09:00,9130.0,9190.0,9090.0,9130.0,409226
2026-07-22 13:00:00+09:00,9140.0,9180.0,9050.0,9070.0,241975
2026-07-22 14:00:00+09:00,9070.0,9080.0,8870.0,8910.0,640334
2026-07-23 09:00:00+09:00,9000.0,9135.0,8950.0,9120.0,910724
2026-07-23 10:00:00+09:00,9115.0,9165.0,9020.0,9030.0,516977
2026-07-23 11:00:00+09:00,9020.0,9060.0,8915.0,9045.0,379666
2026-07-23 12:00:00+09:00,9045.0,9100.0,8977.0,9090.0,174268
2026-07-23 13:00:00+09:00,9090.0,9110.0,9040.0,9080.0,197986
2026-07-23 14:00:00+09:00,9080.0,9145.0,9045.0,9095.0,388293
2026-07-24 09:00:00+09:00,9040.0,9060.0,8765.0,8835.0,1882746
2026-07-24 10:00:00+09:00,8835.0,8920.0,8790.0,8790.0,793162
2026-07-24 11:00:00+09:00,8790.0,8790.0,8555.0,8555.0,1584644
2026-07-24 12:00:00+09:00,8555.0,8640.0,8550.0,8565.0,672270
2026-07-24 13:00:00+09:00,8565.0,8660.0,8530.0,8635.0,628784
2026-07-24 14:00:00+09:00,8635.0,8710.0,8600.0,8630.0,473418
2026-07-27 09:00:00+09:00,8795.0,8795.0,8570.0,8625.0,0
2026-07-27 10:00:00+09:00,8635.0,8650.0,8402.0,8540.0,1021698
2026-07-27 11:00:00+09:00,8535.0,8560.0,8470.0,8500.0,355875
2026-07-27 12:00:00+09:00,8500.0,8605.0,8475.0,8505.0,330499
2026-07-27 13:00:00+09:00,8505.0,8615.0,8505.0,8595.0,250231
2026-07-27 14:00:00+09:00,8595.0,8685.0,8580.0,8650.0,317256
2026-07-28 09:00:00+09:00,8295.0,8300.0,7950.0,7955.0,3580155
2026-07-28 10:00:00+09:00,7960.0,8030.0,7872.0,7875.0,1033185
2026-07-28 11:00:00+09:00,7872.0,7920.0,7745.0,7770.0,1330943
2026-07-28 12:00:00+09:00,7770.0,7840.0,7690.0,7820.0,897469
2026-07-28 13:00:00+09:00,7820.0,7820.0,7700.0,7765.0,609734
2026-07-28 14:00:00+09:00,7765.0,7825.0,7672.0,7680.0,1022982
2026-07-29 09:00:00+09:00,7835.0,8000.0,7685.0,7780.0,1902790
2026-07-29 10:00:00+09:00,7780.0,7835.0,7265.0,7265.0,1938400
2026-07-29 11:00:00+09:00,7260.0,7320.0,7070.0,7075.0,2322727
2026-07-29 12:00:00+09:00,7072.0,7220.0,7000.0,7010.0,705099
2026-07-29 13:00:00+09:00,7035.0,7040.0,6620.0,6960.0,3125995
2026-07-29 14:00:00+09:00,6965.0,7225.0,6940.0,7180.0,1670132
2026-07-30 09:00:00+09:00,7030.0,7100.0,6815.0,6970.0,1724093
2026-07-30 10:00:00+09:00,6975.0,7415.0,6960.0,7315.0,1187769
2026-07-30 11:00:00+09:00,7315.0,7385.0,6995.0,7010.0,578807
2026-07-30 12:00:00+09:00,7010.0,7050.0,6900.0,6960.0,669521
2026-07-30 13:00:00+09:00,6965.0,6995.0,6840.0,6860.0,629021
2026-07-30 14:00:00+09:00,6865.0,7000.0,6835.0,6910.0,361323
2026-07-31 09:00:00+09:00,7815.0,8075.0,7645.0,8067.0,3362902
2026-07-31 10:00:00+09:00,8070.0,8182.0,7865.0,7955.0,1132373
2026-07-31 11:00:00+09:00,7960.0,7980.0,7830.0,7960.0,488584
2026-07-31 12:00:00+09:00,7960.0,7995.0,7930.0,7965.0,313322
2026-07-31 13:00:00+09:00,7962.0,8125.0,7930.0,8125.0,456085
2026-07-31 14:00:00+09:00,8125.0,8285.0,8090.0,8285.0,842787
2026-08-03 09:00:00+09:00,8045.0,8395.0,7755.0,7935.0,0
2026-08-03 10:00:00+09:00,7935.0,7957.0,7780.0,7875.0,1062792
2026-08-03 11:00:00+09:00,7875.0,7945.0,7840.0,7865.0,461381
