,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,8060.0,8170.0,7950.0,7980.0,0
2026-06-22 10:00:00+09:00,7980.0,8000.0,7850.0,7890.0,6673
2026-06-22 11:00:00+09:00,7890.0,7950.0,7830.0,7950.0,12919
2026-06-22 12:00:00+09:00,7950.0,8000.0,7880.0,7900.0,6730
2026-06-22 13:00:00+09:00,7980.0,7980.0,7890.0,7900.0,6094
2026-06-22 14:00:00+09:00,7900.0,8020.0,7890.0,7930.0,9193
2026-06-23 09:00:00+09:00,8160.0,8410.0,7760.0,7960.0,49772
2026-06-23 10:00:00+09:00,7960.0,8030.0,7770.0,7790.0,13574
2026-06-23 11:00:00+09:00,7790.0,7920.0,7720.0,7830.0,20309
2026-06-23 12:00:00+09:00,7860.0,7860.0,7640.0,7700.0,32295
2026-06-23 13:00:00+09:00,7720.0,7770.0,7620.0,7720.0,74486
2026-06-23 14:00:00+09:00,7740.0,8330.0,7600.0,7620.0,105464
2026-06-24 09:00:00+09:00,7330.0,7570.0,7300.0,7400.0,35480
2026-06-24 10:00:00+09:00,7400.0,7450.0,7270.0,7430.0,13073
2026-06-24 11:00:00+09:00,7430.0,7500.0,7280.0,7310.0,10340
2026-06-24 12:00:00+09:00,7295.0,7320.0,7160.0,7300.0,35313
2026-06-24 13:00:00+09:00,7310.0,7310.0,7160.0,7230.0,46914
2026-06-24 14:00:00+09:00,7230.0,7430.0,7220.0,7250.0,10948
2026-06-25 09:00:00+09:00,7310.0,7580.0,7280.0,7280.0,33656
2026-06-25 10:00:00+09:00,7320.0,7320.0,7150.0,7160.0,6314
2026-06-25 11:00:00+09:00,7170.0,7180.0,7120.0,7120.0,5712
2026-06-25 12:00:00+09:00,7130.0,7200.0,7040.0,7100.0,20887
2026-06-25 13:00:00+09:00,7090.0,7100.0,7020.0,7020.0,5345
2026-06-25 14:00:00+09:00,7020.0,7160.0,7000.0,7060.0,29930
2026-06-26 09:00:00+09:00,7060.0,7060.0,6820.0,6830.0,38957
