Code,Name,Market,Close,Marcap,Amount
017900,광전자,KOSPI,10460,606100000000.0,155108.0
004310,현대약품,KOSPI,11010,352300000000.0,82321.0
014950,삼익제약,KOSDAQ,12050,121300000000.0,78565.0
067290,JW신약,KOSDAQ,4020,225300000000.0,74246.0
001820,삼화콘덴서,KOSPI,144300,1500000000000.0,70726.0
108490,로보티즈,KOSDAQ,339500,4979500000000.0,40173.0
356680,엑스게이트,KOSDAQ,16850,481000000000.0,32132.0
069540,빛과전자,KOSDAQ,4160,468800000000.0,27054.0
093370,후성,KOSPI,14540,1559500000000.0,23999.0
024060,흥구석유,KOSDAQ,14910,223700000000.0,23763.0
010170,대한광통신,KOSDAQ,14100,2192300000000.0,22523.0
411080,샌즈랩,KOSDAQ,6840,104400000000.0,22223.0
032820,우리기술,KOSDAQ,13150,2272100000000.0,16674.0
462860,더즌,KOSDAQ,3360,241100000000.0,15586.0
403870,HPSP,KOSDAQ,52500,4320800000000.0,15360.0
456160,지투지바이오,KOSDAQ,37850,629400000000.0,14433.0
386380,스카이랩스,KOSDAQ,22700,425900000000.0,11296.0
217590,티엠씨,KOSPI,12600,303600000000.0,10977.0
263860,지니언스,KOSDAQ,18820,170900000000.0,10107.0
052710,아모텍,KOSDAQ,16660,311200000000.0,9714.0
226950,올릭스,KOSDAQ,110000,2502600000000.0,8948.0
158430,아톤,KOSDAQ,5080,124400000000.0,8937.0
042510,라온시큐어,KOSDAQ,11140,123700000000.0,8883.0
203650,드림시큐리티,KOSDAQ,2670,271600000000.0,8093.0
034220,LG디스플레이,KOSPI,8740,4370000000000.0,7261.0
000670,영풍,KOSPI,46850,862500000000.0,7102.0
222800,심텍,KOSDAQ,127400,4837900000000.0,7004.0
456010,아이씨티케이,KOSDAQ,17690,256500000000.0,6889.0
080220,제주반도체,KOSDAQ,71200,2452300000000.0,6861.0
0015N0,아로마티카,KOSDAQ,12240,153900000000.0,6499.0
001210,금호전기,KOSPI,10550,131400000000.0,6384.0
036540,SFA반도체,KOSDAQ,7670,1261400000000.0,6244.0
353200,대덕전자,KOSPI,97300,4808300000000.0,6236.0
046970,우리로,KOSDAQ,7060,309400000000.0,6207.0
161890,한국콜마,KOSPI,144700,3415700000000.0,6195.0
187660,페니트리움바이오,KOSDAQ,8030,513600000000.0,5945.0
066970,엘앤에프,KOSPI,113600,4621800000000.0,5941.0
327260,RF머트리얼즈,KOSDAQ,45150,812200000000.0,5841.0
082740,한화엔진,KOSPI,48300,4030500000000.0,5502.0
257720,실리콘투,KOSDAQ,44050,2888600000000.0,5109.0
234340,헥토파이낸셜,KOSDAQ,22800,318500000000.0,5089.0
031980,피에스케이홀딩스,KOSDAQ,167500,3611700000000.0,5068.0
087010,펩트론,KOSDAQ,145200,3385700000000.0,4762.0
058610,에스피지,KOSDAQ,94100,2086900000000.0,4761.0
112610,씨에스윈드,KOSPI,50700,2138100000000.0,4670.0
071200,인피니트헬스케어,KOSDAQ,11560,282000000000.0,4658.0
030530,원익홀딩스,KOSDAQ,22700,1753300000000.0,4462.0
003350,한국화장품제조,KOSPI,14690,332900000000.0,4365.0
204270,제이앤티씨,KOSDAQ,23000,1330500000000.0,4271.0
051900,LG생활건강,KOSPI,308500,4619900000000.0,4101.0
124500,아이티센글로벌,KOSDAQ,31650,734400000000.0,4079.0
131290,티에스이,KOSDAQ,251500,2781900000000.0,4055.0
347850,디앤디파마텍,KOSDAQ,46800,2145200000000.0,3997.0
101730,위메이드맥스,KOSDAQ,5200,435800000000.0,3896.0
375500,DL이앤씨,KOSPI,84200,3258000000000.0,3807.0
289930,웨이비스,KOSDAQ,8170,107400000000.0,3794.0
475150,SK이터닉스,KOSPI,50300,1713600000000.0,3784.0
095610,테스,KOSDAQ,135000,2613600000000.0,3584.0
437730,삼현,KOSDAQ,42600,1350700000000.0,3565.0
002990,금호건설,KOSPI,13470,501900000000.0,3405.0
006360,GS건설,KOSPI,36000,3080900000000.0,3345.0
0039P0,매드업,KOSDAQ,8860,166600000000.0,3278.0
032940,원익,KOSDAQ,9880,179700000000.0,3265.0
488280,에스투더블유,KOSDAQ,14350,155300000000.0,3263.0
064550,바이오니아,KOSDAQ,10190,263000000000.0,3231.0
090460,비에이치,KOSPI,20000,674200000000.0,3226.0
441270,파인엠텍,KOSDAQ,9220,389100000000.0,3224.0
041190,우리기술투자,KOSDAQ,5600,446900000000.0,3219.0
361610,SK아이이테크놀로지,KOSPI,16160,1321700000000.0,3097.0
443670,에스피소프트,KOSDAQ,4980,119600000000.0,3077.0
126730,코칩,KOSDAQ,22150,194300000000.0,3038.0
0220W0,한화머시너리앤서비스홀딩스,KOSPI,6820,576400000000.0,2965.0
294570,쿠콘,KOSDAQ,29800,300700000000.0,2910.0
192820,코스맥스,KOSPI,279000,3166500000000.0,2898.0
319660,피에스케이,KOSDAQ,119200,3452800000000.0,2847.0
043260,성호전자,KOSDAQ,16720,1227800000000.0,2843.0
058470,리노공업,KOSDAQ,65300,4976600000000.0,2773.0
004020,현대제철,KOSPI,34200,4563800000000.0,2718.0
053800,안랩,KOSDAQ,62200,692100000000.0,2708.0
001450,현대해상,KOSPI,49950,4258200000000.0,2687.0
322000,HD현대에너지솔루션,KOSPI,125200,1402200000000.0,2586.0
028300,HLB,KOSDAQ,31050,4135800000000.0,2571.0
067310,하나마이크론,KOSDAQ,33750,2244100000000.0,2553.0
271560,오리온,KOSPI,115300,4557700000000.0,2545.0
012210,삼미금속,KOSDAQ,11530,265800000000.0,2524.0
336260,두산퓨얼셀,KOSPI,48000,3143700000000.0,2500.0
454910,두산로보틱스,KOSPI,69900,4530900000000.0,2454.0
162300,신스틸,KOSDAQ,2655,110100000000.0,2452.0
001230,동국홀딩스,KOSPI,2170,337500000000.0,2427.0
330350,위더스제약,KOSDAQ,8150,107600000000.0,2399.0
098460,고영,KOSDAQ,27600,1882400000000.0,2354.0
119850,지엔씨에너지,KOSDAQ,49500,814200000000.0,2304.0
010060,OCI홀딩스,KOSPI,204000,3808700000000.0,2273.0
006340,대원전선,KOSPI,12890,1010800000000.0,2269.0
476830,알지노믹스,KOSDAQ,27800,779900000000.0,2261.0
131970,두산테스나,KOSDAQ,81900,1582900000000.0,2210.0
040300,YTN,KOSDAQ,2635,125600000000.0,2184.0
356860,티엘비,KOSDAQ,37325,884600000000.0,2163.0
083650,비에이치아이,KOSDAQ,64150,1985100000000.0,2161.0
095340,ISC,KOSDAQ,183400,3887500000000.0,2114.0
483650,달바글로벌,KOSPI,165100,2068000000000.0,2065.0
103590,일진전기,KOSPI,68700,3276000000000.0,2008.0
004090,한국석유,KOSPI,12380,157200000000.0,1943.0
