종목,코드,구분,패턴,점수,RSI,12/26선,이격ATR,3봉회복배수,동시간배수,기준봉(KST),_match,scan_time
광전자,017900,일치,수렴돌파,69.2000393972225,80.7,12>26,3.47,3.94,11.73,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
원익홀딩스,030530,일치,수렴돌파,71.19350961538461,78.3,12≤26,4.41,5.32,7.58,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
로보티즈,108490,일치,수렴돌파,75.16426660507663,69.0,12>26,2.44,2.31,2.93,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
현대약품,004310,관찰,재반등,80.7569546688215,59.6,12≤26,0.3,4.7,4.38,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
JW신약,067290,관찰,재반등,71.62874763045,55.7,12≤26,0.18,5.36,3.34,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
삼화콘덴서,001820,관찰,수렴돌파,59.52033663720747,70.7,12>26,1.82,1.22,2.32,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
삼익제약,014950,일치,재반등,79.82909526920938,75.8,12≤26,3.26,7.65,10.78,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
에스피지,058610,관찰,수렴돌파,71.73367198838899,72.6,12≤26,3.49,4.69,7.23,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
후성,093370,관찰,수렴돌파,80.14316572662908,77.4,12>26,2.96,6.73,6.23,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
삼현,437730,관찰,수렴돌파,75.8527827648115,85.9,12>26,7.08,6.15,21.26,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
빛과전자,069540,관찰,재반등,69.5625281730364,58.9,12>26,0.8,1.32,0.99,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
엑스게이트,356680,관찰,수렴돌파,45.80021375563987,79.1,12>26,3.27,1.32,3.45,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
SFA반도체,036540,관찰,수렴돌파,55.63622033631009,78.4,12>26,3.6,1.44,3.97,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
PS일렉트로닉스,332570,관찰,수렴돌파,59.00181110352155,66.9,12>26,2.32,1.12,0.71,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
대한광통신,010170,관찰,재반등,58.931571380367345,44.8,12≤26,-1.12,1.11,0.55,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
현대제철,004020,관찰,수렴돌파,76.332937987123,76.0,12>26,3.16,3.65,3.73,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
흥구석유,024060,관찰,재반등,59.93797501570307,62.3,12>26,0.87,0.57,1.22,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
우리기술,032820,관찰,재반등,64.40899554425668,39.2,12>26,-2.62,0.44,0.91,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
HPSP,403870,관찰,수렴돌파,35.89142737371617,41.0,12≤26,-1.94,0.53,0.54,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
원익,032940,관찰,수렴돌파,58.24198322004561,63.4,12≤26,0.84,0.97,2.82,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
금호전기,001210,관찰,재반등,72.89358709281848,37.5,12≤26,-1.08,2.75,0.79,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
샌즈랩,411080,관찰,수렴돌파,61.03281552186661,79.4,12>26,3.84,5.59,9.3,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
