code,name,market,price,market_cap,quote_time,amount,scan_time
010170,대한광통신,KOSDAQ,15490,2408500000000.0,2026-09-16T10:48:19+09:00,280020.0,2026-09-16T10:48:31.622302+09:00
069540,빛과전자,KOSDAQ,4620,520600000000.0,2026-09-16T10:48:20+09:00,254952.0,2026-09-16T10:48:31.622302+09:00
072950,빛샘전자,KOSDAQ,13890,111900000000.0,2026-09-16T10:48:21+09:00,152816.0,2026-09-16T10:48:31.622302+09:00
356680,엑스게이트,KOSDAQ,17290,493500000000.0,2026-09-16T10:48:18+09:00,140802.0,2026-09-16T10:48:31.622302+09:00
017900,광전자,KOSPI,10570,612500000000.0,2026-09-16T10:48:20+09:00,87921.0,2026-09-16T10:48:31.622302+09:00
062970,한국첨단소재,KOSDAQ,3440,103600000000.0,2026-09-16T10:48:20+09:00,80830.0,2026-09-16T10:48:31.622302+09:00
411080,샌즈랩,KOSDAQ,7480,114200000000.0,2026-09-16T10:48:18+09:00,66382.0,2026-09-16T10:48:31.622302+09:00
054920,한컴위드,KOSDAQ,5340,150700000000.0,2026-09-16T10:48:23+09:00,50568.0,2026-09-16T10:48:31.622302+09:00
217590,티엠씨,KOSPI,13100,315600000000.0,2026-09-16T10:48:18+09:00,50247.0,2026-09-16T10:48:31.622302+09:00
001820,삼화콘덴서,KOSPI,143600,1492700000000.0,2026-09-16T10:48:19+09:00,48728.0,2026-09-16T10:48:31.622302+09:00
043260,성호전자,KOSDAQ,18175,1334700000000.0,2026-09-16T10:48:23+09:00,47479.0,2026-09-16T10:48:31.622302+09:00
093370,후성,KOSPI,14240,1527300000000.0,2026-09-16T10:48:21+09:00,46355.0,2026-09-16T10:48:31.622302+09:00
386380,스카이랩스,KOSDAQ,20700,388400000000.0,2026-09-16T10:48:20+09:00,45983.0,2026-09-16T10:48:31.622302+09:00
108490,로보티즈,KOSDAQ,308000,4517400000000.0,2026-09-16T10:48:22+09:00,45133.0,2026-09-16T10:48:31.622302+09:00
030530,원익홀딩스,KOSDAQ,24700,1907800000000.0,2026-09-16T10:48:18+09:00,40781.0,2026-09-16T10:48:31.622302+09:00
332570,PS일렉트로닉스,KOSDAQ,8880,408000000000.0,2026-09-16T10:48:19+09:00,39271.0,2026-09-16T10:48:31.622302+09:00
115440,우리넷,KOSDAQ,10510,113400000000.0,2026-09-16T10:48:20+09:00,38141.0,2026-09-16T10:48:31.622302+09:00
158430,아톤,KOSDAQ,5900,144400000000.0,2026-09-16T10:48:19+09:00,37706.0,2026-09-16T10:48:31.622302+09:00
417200,LS머트리얼즈,KOSDAQ,12600,852400000000.0,2026-09-16T10:48:17+09:00,37027.0,2026-09-16T10:48:31.622302+09:00
452280,한선엔지니어링,KOSDAQ,12460,239800000000.0,2026-09-16T10:48:22+09:00,35707.0,2026-09-16T10:48:31.622302+09:00
218410,RFHIC,KOSDAQ,52300,1389900000000.0,2026-09-16T10:48:20+09:00,34838.0,2026-09-16T10:48:31.622302+09:00
229640,LS에코에너지,KOSPI,57700,1767100000000.0,2026-09-16T10:48:22+09:00,32492.0,2026-09-16T10:48:31.622302+09:00
050890,쏠리드,KOSDAQ,9340,567500000000.0,2026-09-16T10:48:18+09:00,31884.0,2026-09-16T10:48:31.622302+09:00
036540,SFA반도체,KOSDAQ,8740,1437400000000.0,2026-09-16T10:48:22+09:00,28449.0,2026-09-16T10:48:31.622302+09:00
001210,금호전기,KOSPI,11130,138700000000.0,2026-09-16T10:48:20+09:00,27350.0,2026-09-16T10:48:31.622302+09:00
