mode,fee_each_side,ending_cash,ending_equity,return_pct,closed_trades,wins,skipped_signals,no_fill,max_drawdown_hourly_pct,open_position,config,part,lag,slippage,signals,target_hits,win_pct,target_pct
fixed,0.00175,810128.9047500012,810128.9047500012,-18.98710952499989,18,6,21,0,-33.31474422286475,False,hold_capNone_trendFalse,train,0,0.0,39,4,33.33333333333333,22.22222222222222
fixed,0.00175,699503.7793072506,699503.7793072506,-30.04962206927494,18,5,21,0,-38.701179431100755,False,hold_capNone_trendFalse,train,0,0.003,39,3,27.77777777777778,16.666666666666664
fixed,0.00175,1103146.9420000012,1103146.9420000012,10.31469420000013,8,4,2,0,-12.011425019076372,False,hold_capNone_trendFalse,train,60,0.0,10,3,50.0,37.5
fixed,0.00175,1097693.176028876,1097693.176028876,9.769317602887618,8,4,2,0,-12.302765985688879,False,hold_capNone_trendFalse,train,60,0.003,10,3,50.0,37.5
fixed,0.00175,1055201.4448750014,1055201.4448750014,5.520144487500134,16,7,13,0,-28.6078816279149,False,hold_capNone_trendTrue,train,0,0.0,29,5,43.75,31.25
fixed,0.00175,908023.2549361255,908023.2549361255,-9.197674506387454,16,6,13,0,-32.448706718020674,False,hold_capNone_trendTrue,train,0,0.003,29,4,37.5,25.0
fixed,0.00175,1162001.076875001,1162001.076875001,16.200107687500086,7,4,2,0,-7.602228330392046,False,hold_capNone_trendTrue,train,60,0.0,9,3,57.14285714285714,42.857142857142854
fixed,0.00175,1156083.4061806267,1156083.4061806267,15.608340618062666,7,4,2,0,-7.6414914122656,False,hold_capNone_trendTrue,train,60,0.003,9,3,57.14285714285714,42.857142857142854
fixed,0.00175,926046.1513750013,926046.1513750013,-7.395384862499865,16,6,19,0,-27.1595610608781,False,hold_cap3_trendFalse,train,0,0.0,35,4,37.5,25.0
fixed,0.00175,823576.1331480012,823576.1331480012,-17.642386685199885,15,5,19,0,-30.134086996679166,False,hold_cap3_trendFalse,train,0,0.003,34,3,33.33333333333333,20.0
fixed,0.00175,1073578.5737500004,1073578.5737500004,7.357857375000054,4,2,1,0,-5.199706874999988,False,hold_cap3_trendFalse,train,60,0.0,5,2,50.0,50.0
fixed,0.00175,1073799.3094712505,1073799.3094712505,7.379930947125057,4,2,1,0,-5.215305995624986,False,hold_cap3_trendFalse,train,60,0.003,5,2,50.0,50.0
fixed,0.00175,1004569.1962500012,1004569.1962500012,0.4569196250001184,14,6,12,0,-29.53057390710554,False,hold_cap3_trendTrue,train,0,0.0,26,4,42.857142857142854,28.57142857142857
fixed,0.00175,919529.382088626,919529.382088626,-8.0470617911374,13,5,12,0,-26.73536361403659,False,hold_cap3_trendTrue,train,0,0.003,25,3,38.46153846153847,23.076923076923077
fixed,0.00175,1073578.5737500004,1073578.5737500004,7.357857375000054,4,2,1,0,-5.199706874999988,False,hold_cap3_trendTrue,train,60,0.0,5,2,50.0,50.0
fixed,0.00175,1073799.3094712505,1073799.3094712505,7.379930947125057,4,2,1,0,-5.215305995624986,False,hold_cap3_trendTrue,train,60,0.003,5,2,50.0,50.0
fixed,0.00175,810128.9047500012,810128.9047500012,-18.98710952499989,18,6,21,0,-33.31474422286475,False,hold_cap5_trendFalse,train,0,0.0,39,4,33.33333333333333,22.22222222222222
fixed,0.00175,699503.7793072506,699503.7793072506,-30.04962206927494,18,5,21,0,-38.701179431100755,False,hold_cap5_trendFalse,train,0,0.003,39,3,27.77777777777778,16.666666666666664
fixed,0.00175,1060799.1143750008,1060799.1143750008,6.079911437500085,6,3,2,0,-8.896495342060884,False,hold_cap5_trendFalse,train,60,0.0,8,2,50.0,33.33333333333333
fixed,0.00175,1054834.1883931262,1054834.1883931262,5.483418839312626,6,3,2,0,-9.208320612286192,False,hold_cap5_trendFalse,train,60,0.003,8,2,50.0,33.33333333333333
fixed,0.00175,1055201.4448750014,1055201.4448750014,5.520144487500134,16,7,13,0,-28.6078816279149,False,hold_cap5_trendTrue,train,0,0.0,29,5,43.75,31.25
fixed,0.00175,908023.2549361255,908023.2549361255,-9.197674506387454,16,6,13,0,-32.448706718020674,False,hold_cap5_trendTrue,train,0,0.003,29,4,37.5,25.0
fixed,0.00175,1060799.1143750008,1060799.1143750008,6.079911437500085,6,3,2,0,-8.896495342060884,False,hold_cap5_trendTrue,train,60,0.0,8,2,50.0,33.33333333333333
fixed,0.00175,1054834.1883931262,1054834.1883931262,5.483418839312626,6,3,2,0,-9.208320612286192,False,hold_cap5_trendTrue,train,60,0.003,8,2,50.0,33.33333333333333
fixed,0.00175,1035878.8507500027,1035878.8507500027,3.5878850750002744,25,10,44,0,-22.769841683085655,False,money_capNone_trendFalse,train,0,0.0,69,8,40.0,32.0
fixed,0.00175,783287.4385422515,783287.4385422515,-21.671256145774855,27,9,42,0,-38.36281585312212,False,money_capNone_trendFalse,train,0,0.003,69,7,33.33333333333333,25.925925925925924
fixed,0.00175,1305742.4482500025,1305742.4482500025,30.574244825000243,26,12,81,0,-24.042653609888475,False,money_capNone_trendFalse,train,60,0.0,107,11,46.15384615384615,42.30769230769231
fixed,0.00175,1289986.3709935031,1289986.3709935031,28.99863709935031,26,12,81,0,-24.103157275130027,False,money_capNone_trendFalse,train,60,0.003,107,11,46.15384615384615,42.30769230769231
fixed,0.00175,1089556.9112500022,1089556.9112500022,8.955691125000232,20,9,21,0,-20.010485174944705,False,money_capNone_trendTrue,train,0,0.0,41,6,45.0,30.0
fixed,0.00175,897240.7063138764,897240.7063138764,-10.275929368612358,21,8,20,0,-33.10117378795693,False,money_capNone_trendTrue,train,0,0.003,41,5,38.095238095238095,23.809523809523807
fixed,0.00175,1264441.3090000022,1264441.3090000022,26.444130900000218,24,12,55,0,-19.02815671223855,False,money_capNone_trendTrue,train,60,0.0,79,9,50.0,37.5
fixed,0.00175,1242413.5593716903,1242413.5593716903,24.24135593716903,24,11,55,0,-19.134997008293897,False,money_capNone_trendTrue,train,60,0.003,79,9,45.83333333333333,37.5
fixed,0.00175,1035878.8507500027,1035878.8507500027,3.5878850750002744,25,10,44,0,-22.769841683085655,False,money_cap3_trendFalse,train,0,0.0,69,8,40.0,32.0
fixed,0.00175,783287.4385422515,783287.4385422515,-21.671256145774855,27,9,42,0,-38.36281585312212,False,money_cap3_trendFalse,train,0,0.003,69,7,33.33333333333333,25.925925925925924
fixed,0.00175,1458809.6337500028,1458809.6337500028,45.88096337500027,23,12,77,0,-22.15845214182046,False,money_cap3_trendFalse,train,60,0.0,100,10,52.17391304347826,43.47826086956522
fixed,0.00175,1434860.2597308778,1434860.2597308778,43.48602597308777,23,12,76,0,-23.021903927973852,False,money_cap3_trendFalse,train,60,0.003,99,10,52.17391304347826,43.47826086956522
fixed,0.00175,1089556.9112500022,1089556.9112500022,8.955691125000232,20,9,21,0,-20.010485174944705,False,money_cap3_trendTrue,train,0,0.0,41,6,45.0,30.0
fixed,0.00175,897240.7063138764,897240.7063138764,-10.275929368612358,21,8,20,0,-33.10117378795693,False,money_cap3_trendTrue,train,0,0.003,41,5,38.095238095238095,23.809523809523807
fixed,0.00175,1329875.8784375018,1329875.8784375018,32.98758784375018,22,12,51,0,-17.800043160260415,False,money_cap3_trendTrue,train,60,0.0,73,8,54.54545454545454,36.36363636363637
fixed,0.00175,1275265.336853378,1275265.336853378,27.526533685337796,22,11,50,0,-18.848198863646726,False,money_cap3_trendTrue,train,60,0.003,72,8,50.0,36.36363636363637
fixed,0.00175,1035878.8507500027,1035878.8507500027,3.5878850750002744,25,10,44,0,-22.769841683085655,False,money_cap5_trendFalse,train,0,0.0,69,8,40.0,32.0
