code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
071970,HD현대마린엔진,96500.0,0,10,2026-01-08 11:00:00+09:00,4,966688.7499999999,932365.5,False,105000.0,False,93400.0,2026-01-14 14:00:00+09:00,MAX_5D,-34323.24999999988
454910,두산로보틱스,92100.0,0,10,2026-01-15 11:00:00+09:00,9,922611.7499999999,1011327.0750000001,False,96800.0,False,90200.0,2026-01-19 09:00:00+09:00,TARGET,88715.32500000019
131290,티에스이,73400.0,0,14,2026-01-21 11:00:00+09:00,13,1029398.2999999999,1074715.95,False,80000.0,False,76900.0,2026-01-27 14:00:00+09:00,MAX_5D,45317.65000000002
441270,파인엠텍,11470.0,0,95,2026-02-12 11:00:00+09:00,28,1091556.8875,1033355.9568749999,False,11990.0,False,11010.0,2026-02-13 14:00:00+09:00,STOP,-58200.93062500004
330350,위더스제약,9420.0,0,110,2026-02-23 11:00:00+09:00,32,1038013.3499999999,982667.3175,False,9570.0,False,9180.0,2026-02-25 09:00:00+09:00,STOP,-55346.032499999856
456160,지투지바이오,108200.0,0,9,2026-02-25 11:00:00+09:00,34,975504.1499999999,923491.0575,False,108800.0,False,105400.0,2026-02-26 09:00:00+09:00,STOP,-52013.09249999991
124500,아이티센글로벌,70500.0,0,13,2026-03-11 11:00:00+09:00,43,918103.8749999999,869151.31875,False,71200.0,False,69800.0,2026-03-11 14:00:00+09:00,STOP,-48952.55624999991
007810,코리아써키트,58600.0,0,15,2026-03-18 11:00:00+09:00,48,880538.2499999999,965207.925,False,63400.0,False,61700.0,2026-03-20 09:00:00+09:00,TARGET,84669.67500000016
092790,넥스틸,12550.0,0,77,2026-03-20 11:00:00+09:00,50,968041.1124999999,916425.943125,False,12840.0,False,12070.0,2026-03-23 14:00:00+09:00,STOP,-51615.16937499994
054920,한컴위드,4770.0,0,192,2026-03-25 11:00:00+09:00,53,917442.72,868525.416,False,5040.0,False,4715.0,2026-03-27 09:00:00+09:00,STOP,-48917.304000000004
010060,OCI홀딩스,215000.0,0,4,2026-04-02 11:00:00+09:00,59,861504.9999999999,815570.25,False,215500.0,False,208000.0,2026-04-02 14:00:00+09:00,STOP,-45934.74999999988
375500,DL이앤씨,77800.0,0,10,2026-04-03 11:00:00+09:00,60,779361.4999999999,854302.35,False,80200.0,False,76000.0,2026-04-08 09:00:00+09:00,TARGET,74940.8500000001
054920,한컴위드,5370.0,0,166,2026-04-14 11:00:00+09:00,67,892979.9849999999,978846.0165000001,False,5380.0,False,5330.0,2026-04-15 09:00:00+09:00,TARGET,85866.03150000027
004170,신세계,371000.0,0,2,2026-04-16 11:00:00+09:00,69,743298.4999999999,763661.25,False,402500.0,False,382500.0,2026-04-23 14:00:00+09:00,MAX_5D,20362.750000000116
440110,파두,90000.0,0,11,2026-05-08 11:00:00+09:00,82,991732.4999999999,1087094.2500000002,False,94200.0,False,91800.0,2026-05-11 09:00:00+09:00,TARGET,95361.75000000035
069540,빛과전자,6610.0,0,166,2026-05-22 11:00:00+09:00,92,1099180.2049999998,1204873.7745000003,False,6610.0,False,6610.0,2026-05-26 09:00:00+09:00,TARGET,105693.56950000045
095610,테스,159400.0,0,7,2026-06-09 11:00:00+09:00,102,1117752.65,1225232.085,False,167500.0,False,161300.0,2026-06-10 09:00:00+09:00,TARGET,107479.43500000006
002990,금호건설,6630.0,0,197,2026-06-26 11:00:00+09:00,115,1308395.6925,1434206.7382500002,False,6630.0,False,6630.0,2026-06-29 09:00:00+09:00,TARGET,125811.04575000028
241710,코스메카코리아,76700.0,0,18,2026-07-01 11:00:00+09:00,118,1383016.0499999998,1516002.345,False,83000.0,False,79900.0,2026-07-02 09:00:00+09:00,TARGET,132986.29500000016
002990,금호건설,14560.0,0,107,2026-07-07 11:00:00+09:00,122,1560646.3599999999,1477433.9579999999,False,14560.0,False,14560.0,2026-07-07 11:00:00+09:00,STOP,-83212.402
119850,지엔씨에너지,31950.0,0,46,2026-07-15 11:00:00+09:00,128,1472271.9749999999,1613840.8275,False,34500.0,False,34000.0,2026-07-16 13:00:00+09:00,TARGET,141568.85250000004
483650,달바글로벌,236500.0,0,6,2026-07-21 11:00:00+09:00,131,1421483.25,1345690.9124999999,False,242000.0,False,232500.0,2026-07-22 12:00:00+09:00,STOP,-75792.33750000014
112610,씨에스윈드,42300.0,0,36,2026-07-23 11:00:00+09:00,133,1525464.9,1444128.345,False,45600.0,False,43350.0,2026-07-27 09:00:00+09:00,STOP,-81336.55499999993
041510,에스엠,75700.0,0,19,2026-08-04 11:00:00+09:00,141,1440817.025,1441473.0,False,78600.0,False,76000.0,2026-08-10 14:00:00+09:00,MAX_5D,655.9750000000931
067310,하나마이크론,36200.0,0,40,2026-08-13 11:00:00+09:00,148,1450533.9999999998,1590012.5999999999,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,139478.6000000001
192820,코스맥스,259500.0,0,6,2026-08-20 11:00:00+09:00,152,1559724.7499999998,1709702.775,False,285000.0,False,285000.0,2026-08-24 10:00:00+09:00,TARGET,149978.02500000014
006360,GS건설,37800.0,0,46,2026-08-26 11:00:00+09:00,156,1741842.9,1648969.2449999999,False,39000.0,False,36900.0,2026-08-28 09:00:00+09:00,STOP,-92873.65500000003
017900,광전자,9390.0,0,177,2026-09-14 11:00:00+09:00,169,1664938.5524999998,1825033.59225,False,10270.0,False,10270.0,2026-09-15 09:00:00+09:00,TARGET,160095.03975000023
