code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
241710,코스메카코리아,76930.09999999999,0,12,2026-07-01 11:00:00+09:00,0,924776.7320999999,1013700.2346900001,False,83000.0,False,79900.0,2026-07-02 09:00:00+09:00,TARGET,88923.50259000016
002990,금호건설,14603.679999999998,0,74,2026-07-07 11:00:00+09:00,4,1082563.4965599997,1024842.0862679997,False,14603.679999999998,False,14603.679999999998,2026-07-07 11:00:00+09:00,STOP,-57721.41029199993
119850,지엔씨에너지,32045.849999999995,0,32,2026-07-15 11:00:00+09:00,10,1027261.7675999998,1126039.89564,False,34500.0,False,34000.0,2026-07-16 13:00:00+09:00,TARGET,98778.12804000021
483650,달바글로벌,237209.49999999997,0,4,2026-07-21 11:00:00+09:00,13,950498.4664999999,899818.6568249998,False,242000.0,False,237000.0,2026-07-22 09:00:00+09:00,STOP,-50679.809675000026
017900,광전자,6359.0199999999995,0,169,2026-07-22 11:00:00+09:00,14,1076555.060165,1019154.0148432499,False,6359.0199999999995,False,6140.0,2026-07-22 14:00:00+09:00,STOP,-57401.04532174999
112610,씨에스윈드,42426.899999999994,0,24,2026-07-23 11:00:00+09:00,15,1020027.5297999998,965640.4866899998,False,45600.0,False,43350.0,2026-07-27 09:00:00+09:00,STOP,-54387.04310999997
041510,에스엠,75927.09999999999,0,12,2026-08-04 11:00:00+09:00,23,912719.6690999998,864054.1943549999,False,78600.0,False,73700.0,2026-08-06 10:00:00+09:00,STOP,-48665.4747449999
067310,하나마이크론,36308.6,0,25,2026-08-13 11:00:00+09:00,30,909303.50125,996739.1486249999,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,87435.64737499994
192820,코스맥스,260278.49999999997,0,3,2026-08-20 11:00:00+09:00,34,782201.9621249998,857415.9416624999,False,285000.0,False,285000.0,2026-08-24 10:00:00+09:00,TARGET,75213.97953750007
017900,광전자,9418.169999999998,0,114,2026-09-14 11:00:00+09:00,51,1075550.3049149998,1178971.7005935,False,10270.0,False,10270.0,2026-09-15 09:00:00+09:00,TARGET,103421.39567850018
