code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
131290,티에스이,65094.69999999999,0,15,2026-01-05 11:00:00+09:00,1,978129.2358749998,925976.1759187499,False,65094.69999999999,False,63400.0,2026-01-07 09:00:00+09:00,STOP,-52153.0599562499
327260,RF머트리얼즈,14418.124999999998,0,65,2026-01-26 11:00:00+09:00,16,938818.1867187498,1029091.869609375,False,15175.0,False,14950.0,2026-01-26 14:00:00+09:00,TARGET,90273.6828906252
089970,브이엠,28986.699999999997,0,35,2026-01-28 11:00:00+09:00,18,1016309.9353749998,1023705.375,False,31700.0,False,29300.0,2026-02-04 14:00:00+09:00,MAX_5D,7395.439625000232
475150,SK이터닉스,23018.85,0,45,2026-02-10 11:00:00+09:00,26,1037660.9844374998,1137439.06711875,False,24800.0,False,23400.0,2026-02-13 09:00:00+09:00,TARGET,99778.08268125018
417840,저스템,7191.509999999999,0,158,2026-03-13 11:00:00+09:00,45,1138247.0325149999,1077556.62111075,False,7340.0,False,7000.0,2026-03-16 10:00:00+09:00,STOP,-60690.41140424996
327260,RF머트리얼즈,49548.2,0,21,2026-04-15 11:00:00+09:00,68,1042333.0963499999,986756.7384674998,False,49548.2,False,48400.0,2026-04-16 09:00:00+09:00,STOP,-55576.357882500044
064290,인텍플러스,28334.749999999996,0,36,2026-04-17 11:00:00+09:00,70,1021836.0892499998,1120092.501825,False,30850.0,False,28250.0,2026-04-24 09:00:00+09:00,TARGET,98256.41257500008
456160,지투지바이오,87762.49999999999,0,12,2026-04-30 11:00:00+09:00,78,1054993.0124999997,989465.4,False,87800.0,False,85600.0,2026-05-06 09:00:00+09:00,STOP_GAP,-65527.6124999997
089970,브이엠,64492.899999999994,0,16,2026-05-22 11:00:00+09:00,92,1033692.2011999998,1133088.65868,False,64900.0,False,64100.0,2026-05-26 09:00:00+09:00,TARGET,99396.45748000033
119850,지엔씨에너지,32045.849999999995,0,36,2026-07-15 11:00:00+09:00,128,1155669.4885499997,1266794.8825949999,False,34500.0,False,34000.0,2026-07-16 13:00:00+09:00,TARGET,111125.3940450002
010060,OCI홀딩스,278833.99999999994,0,4,2026-07-24 11:00:00+09:00,134,1117287.8379999998,1057714.9538999996,False,278833.99999999994,False,278833.99999999994,2026-07-24 11:00:00+09:00,STOP,-59572.88410000014
336260,두산퓨얼셀,46288.45,0,26,2026-08-26 11:00:00+09:00,156,1205605.824475,1141323.8967487498,False,47450.0,False,45300.0,2026-08-31 09:00:00+09:00,STOP,-64281.92772625014
375500,DL이앤씨,80540.9,0,14,2026-09-08 11:00:00+09:00,165,1129545.8520499999,1194905.25,False,86400.0,False,85500.0,2026-09-14 14:00:00+09:00,MAX_5D,65359.39795000013
