,Open,High,Low,Close,Volume
2026-06-25 09:00:00+09:00,7460.0,7800.0,7240.0,7670.0,0
2026-06-25 10:00:00+09:00,7680.0,7800.0,7620.0,7760.0,53453
2026-06-25 11:00:00+09:00,7760.0,7770.0,7660.0,7700.0,17494
2026-06-25 12:00:00+09:00,7700.0,7720.0,7580.0,7650.0,16409
2026-06-25 13:00:00+09:00,7640.0,7730.0,7630.0,7730.0,19407
2026-06-25 14:00:00+09:00,7730.0,7800.0,7720.0,7770.0,49820
2026-06-26 09:00:00+09:00,7600.0,7660.0,7000.0,7580.0,28671
2026-06-26 10:00:00+09:00,7590.0,7590.0,7460.0,7490.0,9938
2026-06-26 11:00:00+09:00,7485.0,7490.0,7310.0,7350.0,9813
2026-06-26 12:00:00+09:00,7330.0,7400.0,7250.0,7390.0,8815
2026-06-26 13:00:00+09:00,7400.0,7570.0,7330.0,7330.0,15165
2026-06-26 14:00:00+09:00,7320.0,7470.0,7300.0,7420.0,12968
2026-06-29 09:00:00+09:00,7330.0,7490.0,7230.0,7400.0,0
2026-06-29 10:00:00+09:00,7400.0,7540.0,7280.0,7460.0,25829
2026-06-29 11:00:00+09:00,7490.0,7490.0,7420.0,7460.0,5663
2026-06-29 12:00:00+09:00,7470.0,7520.0,7420.0,7500.0,8858
2026-06-29 13:00:00+09:00,7510.0,7550.0,7490.0,7510.0,6914
2026-06-29 14:00:00+09:00,7510.0,7620.0,7490.0,7600.0,11540
2026-06-30 09:00:00+09:00,7400.0,7610.0,7400.0,7470.0,13026
2026-06-30 10:00:00+09:00,7470.0,7490.0,7390.0,7440.0,9148
2026-06-30 11:00:00+09:00,7440.0,7490.0,7380.0,7450.0,6033
2026-06-30 12:00:00+09:00,7450.0,7470.0,7400.0,7440.0,4487
2026-06-30 13:00:00+09:00,7440.0,7440.0,7370.0,7420.0,7957
2026-06-30 14:00:00+09:00,7380.0,7420.0,7340.0,7350.0,9026
2026-07-01 09:00:00+09:00,7360.0,7460.0,7320.0,7440.0,12996
2026-07-01 10:00:00+09:00,7440.0,7450.0,7180.0,7340.0,12258
2026-07-01 11:00:00+09:00,7350.0,7400.0,7270.0,7380.0,10738
2026-07-01 12:00:00+09:00,7370.0,7400.0,7310.0,7370.0,4453
2026-07-01 13:00:00+09:00,7360.0,7410.0,7340.0,7340.0,36532
2026-07-01 14:00:00+09:00,7360.0,7370.0,7310.0,7360.0,5935
2026-07-02 09:00:00+09:00,7300.0,7580.0,7130.0,7520.0,61035
2026-07-02 10:00:00+09:00,7520.0,7760.0,7510.0,7740.0,92834
2026-07-02 11:00:00+09:00,7740.0,7790.0,7650.0,7680.0,34141
2026-07-02 12:00:00+09:00,7680.0,7780.0,7670.0,7720.0,24738
2026-07-02 13:00:00+09:00,7720.0,7760.0,7640.0,7730.0,36075
2026-07-02 14:00:00+09:00,7730.0,7740.0,7590.0,7650.0,18738
2026-07-03 09:00:00+09:00,7600.0,7690.0,7340.0,7480.0,17378
2026-07-03 10:00:00+09:00,7490.0,7700.0,7450.0,7680.0,28229
2026-07-03 11:00:00+09:00,7680.0,7760.0,7660.0,7720.0,48902
2026-07-03 12:00:00+09:00,7720.0,7760.0,7660.0,7730.0,45285
2026-07-03 13:00:00+09:00,7730.0,7740.0,7680.0,7700.0,22508
2026-07-03 14:00:00+09:00,7700.0,7740.0,7680.0,7730.0,21377
2026-07-06 09:00:00+09:00,7730.0,7890.0,7670.0,7790.0,0
2026-07-06 10:00:00+09:00,7790.0,7790.0,7640.0,7650.0,12449
2026-07-06 11:00:00+09:00,7660.0,7730.0,7630.0,7660.0,10633
2026-07-06 12:00:00+09:00,7660.0,7730.0,7660.0,7690.0,4574
2026-07-06 13:00:00+09:00,7680.0,7680.0,7620.0,7640.0,5587
2026-07-06 14:00:00+09:00,7640.0,7690.0,7580.0,7640.0,8893
2026-07-07 09:00:00+09:00,7600.0,7800.0,7600.0,7730.0,17236
2026-07-07 10:00:00+09:00,7740.0,7770.0,7640.0,7670.0,13260
2026-07-07 11:00:00+09:00,7660.0,7680.0,7590.0,7600.0,8794
2026-07-07 12:00:00+09:00,7620.0,7630.0,7570.0,7580.0,15155
2026-07-07 13:00:00+09:00,7590.0,7630.0,7560.0,7600.0,16825
2026-07-07 14:00:00+09:00,7600.0,7700.0,7540.0,7700.0,37155
2026-07-08 09:00:00+09:00,7580.0,7620.0,7170.0,7530.0,34480
2026-07-08 10:00:00+09:00,7530.0,7600.0,7470.0,7560.0,24425
