id,N,mult,trend,ext,train_signals,train_trades,train_wins,train_ret,train_mdd,train_skipped,train_no_fill,validate_signals,validate_trades,validate_wins,validate_ret,validate_mdd,validate_skipped,validate_no_fill
N20_m1.5_t0_e0,20,1.5,0,0,224,68,17,-29.1,-36.26,147,9,186,35,12,-15.93,-21.44,151,0
N20_m1.5_t0_e1,20,1.5,0,1,177,52,15,-19.12,-25.57,120,5,135,21,9,-4.14,-14.89,113,1
N20_m1.5_t1_e0,20,1.5,1,0,147,55,13,-26.75,-33.35,86,6,183,33,11,-15.8,-21.45,149,1
N20_m1.5_t1_e1,20,1.5,1,1,111,43,13,-17.14,-24.05,64,4,132,20,9,-2.23,-13.2,112,0
N20_m2.0_t0_e0,20,2.0,0,0,198,69,16,-36.08,-40.09,120,9,157,40,14,-11.25,-16.92,117,0
N20_m2.0_t0_e1,20,2.0,0,1,142,55,17,-17.31,-23.1,84,3,105,29,11,-9.85,-19.4,75,1
N20_m2.0_t1_e0,20,2.0,1,0,130,53,13,-25.68,-32.3,73,4,156,39,14,-9.3,-15.13,117,0
N20_m2.0_t1_e1,20,2.0,1,1,90,41,12,-15.72,-22.54,48,1,103,28,11,-8.32,-17.95,75,0
N20_m3.0_t0_e0,20,3.0,0,0,150,64,17,-26.99,-31.16,80,6,122,36,12,-6.52,-18.01,85,1
N20_m3.0_t0_e1,20,3.0,0,1,93,51,17,-10.83,-17.42,40,2,59,21,10,1.56,-14.17,37,1
N20_m3.0_t1_e0,20,3.0,1,0,97,49,14,-16.1,-23.99,45,3,122,36,12,-6.52,-18.01,85,1
N20_m3.0_t1_e1,20,3.0,1,1,59,38,12,-9.51,-18.65,20,1,58,21,10,1.56,-14.17,37,0
N20_m4.0_t0_e0,20,4.0,0,0,118,63,20,-13.47,-18.03,51,4,96,36,11,-12.43,-23.18,59,1
N20_m4.0_t0_e1,20,4.0,0,1,64,45,16,-6.46,-15.61,17,2,40,19,7,-6.82,-14.57,21,0
N20_m4.0_t1_e0,20,4.0,1,0,79,45,14,-9.2,-17.33,32,2,96,36,11,-12.43,-23.18,59,1
N20_m4.0_t1_e1,20,4.0,1,1,46,33,11,-6.3,-14.9,12,1,40,19,7,-6.82,-14.57,21,0
N40_m1.5_t0_e0,40,1.5,0,0,151,62,16,-24.26,-32.62,84,5,144,28,9,-11.65,-16.14,116,0
N40_m1.5_t0_e1,40,1.5,0,1,94,45,12,-17.19,-23.73,45,4,89,23,12,5.43,-13.75,66,0
N40_m1.5_t1_e0,40,1.5,1,0,118,49,10,-28.74,-31.27,63,6,144,28,9,-11.65,-16.14,116,0
N40_m1.5_t1_e1,40,1.5,1,1,73,36,9,-18.78,-21.32,33,4,89,23,12,5.43,-13.75,66,0
N40_m2.0_t0_e0,40,2.0,0,0,137,58,16,-19.58,-28.46,75,4,126,32,11,-10.26,-15.5,93,1
N40_m2.0_t0_e1,40,2.0,0,1,80,40,12,-10.02,-17.97,38,2,69,21,10,1.88,-15.3,48,0
N40_m2.0_t1_e0,40,2.0,1,0,105,47,10,-25.25,-27.91,55,3,126,32,11,-10.26,-15.5,93,1
N40_m2.0_t1_e1,40,2.0,1,1,60,32,8,-13.92,-17.55,27,1,69,21,10,1.88,-15.3,48,0
N40_m3.0_t0_e0,40,3.0,0,0,108,54,16,-10.64,-21.54,52,2,96,31,10,-6.17,-15.01,64,1
N40_m3.0_t0_e1,40,3.0,0,1,55,37,12,-7.44,-16.94,16,2,35,22,9,-4.66,-12.89,13,0
N40_m3.0_t1_e0,40,3.0,1,0,78,42,10,-18.89,-21.77,33,3,96,31,10,-6.17,-15.01,64,1
N40_m3.0_t1_e1,40,3.0,1,1,40,29,8,-11.44,-16.58,10,1,35,22,9,-4.66,-12.89,13,0
N40_m4.0_t0_e0,40,4.0,0,0,94,51,16,-6.55,-17.95,41,2,77,31,10,-8.15,-20.36,45,1
N40_m4.0_t0_e1,40,4.0,0,1,42,28,10,-3.67,-14.1,12,2,23,17,6,-7.89,-11.11,6,0
N40_m4.0_t1_e0,40,4.0,1,0,67,40,10,-15.45,-18.45,25,2,77,31,10,-8.15,-20.36,45,1
N40_m4.0_t1_e1,40,4.0,1,1,33,23,7,-7.93,-13.1,9,1,23,17,6,-7.89,-11.11,6,0
N60_m1.5_t0_e0,60,1.5,0,0,95,46,11,-19.23,-22.1,44,5,129,27,10,-6.14,-17.84,102,0
N60_m1.5_t0_e1,60,1.5,0,1,51,29,8,-7.98,-15.93,19,3,79,15,8,0.13,-11.73,64,0
N60_m1.5_t1_e0,60,1.5,1,0,95,46,11,-19.23,-22.1,44,5,129,27,10,-6.14,-17.84,102,0
