code,name,market,price,market_cap,amount
0161M0,네오사피엔스,KOSDAQ,29800,364000000000.0,468844.0
012210,삼미금속,KOSDAQ,13330,307300000000.0,306192.0
001820,삼화콘덴서,KOSPI,147600,1534300000000.0,215037.0
007810,코리아써키트,KOSPI,66400,1592400000000.0,195399.0
010170,대한광통신,KOSDAQ,17850,2775400000000.0,192686.0
067310,하나마이크론,KOSDAQ,45950,3055300000000.0,176697.0
036540,SFA반도체,KOSDAQ,10630,1748200000000.0,160919.0
043260,성호전자,KOSDAQ,27050,2041000000000.0,150289.0
386380,스카이랩스,KOSDAQ,24200,454000000000.0,118053.0
232140,와이씨,KOSDAQ,14300,1173200000000.0,116565.0
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ,22850,1129800000000.0,116259.0
080220,제주반도체,KOSDAQ,76300,2628000000000.0,112134.0
356860,티엘비,KOSDAQ,44600,1057100000000.0,110218.0
006340,대원전선,KOSPI,13750,1078200000000.0,105454.0
108490,로보티즈,KOSDAQ,302500,4436800000000.0,85738.0
032820,우리기술,KOSDAQ,13430,2320500000000.0,76107.0
041190,우리기술투자,KOSDAQ,6020,480400000000.0,72773.0
403870,HPSP,KOSDAQ,54100,4452400000000.0,69925.0
010060,OCI홀딩스,KOSPI,188200,3513700000000.0,58305.0
024840,KBI메탈,KOSDAQ,6440,279900000000.0,57376.0
103590,일진전기,KOSPI,77400,3690800000000.0,56939.0
052710,아모텍,KOSDAQ,19370,361800000000.0,53962.0
066970,엘앤에프,KOSPI,109300,4447000000000.0,53919.0
006360,GS건설,KOSPI,37500,3209300000000.0,53069.0
486990,노타,KOSDAQ,22550,482400000000.0,52652.0
204270,제이앤티씨,KOSDAQ,25250,1460700000000.0,49850.0
095340,ISC,KOSDAQ,207500,4398400000000.0,48138.0
005160,동국산업,KOSDAQ,3540,192000000000.0,46134.0
440110,파두,KOSDAQ,72300,3623000000000.0,45491.0
420770,기가비스,KOSDAQ,118900,1507100000000.0,44141.0
119850,지엔씨에너지,KOSDAQ,54600,898100000000.0,43569.0
356680,엑스게이트,KOSDAQ,16740,477800000000.0,43308.0
017900,광전자,KOSPI,10200,591000000000.0,43164.0
131970,두산테스나,KOSDAQ,93200,1801300000000.0,41605.0
093370,후성,KOSPI,13580,1456500000000.0,40454.0
145020,휴젤,KOSDAQ,190300,2381600000000.0,39393.0
475150,SK이터닉스,KOSPI,51000,1737400000000.0,39243.0
161890,한국콜마,KOSPI,146000,3446300000000.0,39021.0
064290,인텍플러스,KOSDAQ,56100,726900000000.0,38878.0
083650,비에이치아이,KOSDAQ,64200,1986600000000.0,38830.0
089970,브이엠,KOSDAQ,57200,1505900000000.0,38562.0
125490,한라캐스트,KOSDAQ,12410,453000000000.0,38322.0
327260,RF머트리얼즈,KOSDAQ,47750,859000000000.0,38320.0
0007J0,인벤테라,KOSDAQ,13900,109300000000.0,38270.0
274090,켄코아에어로스페이스,KOSDAQ,12280,169100000000.0,37762.0
475830,오름테라퓨틱,KOSDAQ,25600,556900000000.0,37267.0
087010,펩트론,KOSDAQ,143800,3353000000000.0,36205.0
098460,고영,KOSDAQ,28900,1971100000000.0,35461.0
425420,티에프이,KOSDAQ,64400,795200000000.0,35004.0
257720,실리콘투,KOSDAQ,39950,2619800000000.0,34834.0
033160,엠케이전자,KOSDAQ,15810,388400000000.0,34702.0
218410,RFHIC,KOSDAQ,58700,1560000000000.0,34529.0
336260,두산퓨얼셀,KOSPI,47550,3114200000000.0,34364.0
059090,미코,KOSDAQ,22200,741900000000.0,34156.0
082740,한화엔진,KOSPI,49400,4122300000000.0,33142.0
0007C0,아크릴,KOSDAQ,20450,164200000000.0,33095.0
089030,테크윙,KOSDAQ,47850,1773000000000.0,32947.0
030530,원익홀딩스,KOSDAQ,26350,2035200000000.0,32275.0
178320,서진시스템,KOSDAQ,31800,2026400000000.0,31988.0
388050,지투파워,KOSDAQ,10880,203600000000.0,29971.0
319660,피에스케이,KOSDAQ,131900,3820700000000.0,29593.0
425040,티이엠씨,KOSDAQ,12520,274500000000.0,28978.0
036570,NC,KOSPI,223500,4815100000000.0,28737.0
031980,피에스케이홀딩스,KOSDAQ,158200,3411200000000.0,28336.0
347850,디앤디파마텍,KOSDAQ,43000,1977800000000.0,27935.0
005690,파미셀,KOSPI,12650,759100000000.0,27259.0
131290,티에스이,KOSDAQ,281000,3108300000000.0,26582.0
322000,HD현대에너지솔루션,KOSPI,117700,1318200000000.0,26246.0
095610,테스,KOSDAQ,148600,2876900000000.0,26126.0
002990,금호건설,KOSPI,13270,494400000000.0,25613.0
483650,달바글로벌,KOSPI,178500,2236100000000.0,25436.0
437730,삼현,KOSDAQ,53700,1702700000000.0,25155.0
034220,LG디스플레이,KOSPI,8520,4260000000000.0,24878.0
003160,디아이,KOSPI,34850,986300000000.0,24839.0
004020,현대제철,KOSPI,35600,4750700000000.0,24385.0
332570,PS일렉트로닉스,KOSDAQ,8880,408000000000.0,24360.0
375500,DL이앤씨,KOSPI,84900,3285100000000.0,24260.0
088350,한화생명,KOSPI,5610,4872500000000.0,24132.0
298380,에이비엘바이오,KOSDAQ,51100,2861000000000.0,23718.0
454910,두산로보틱스,KOSPI,71500,4634600000000.0,23386.0
100840,SNT에너지,KOSPI,38900,804500000000.0,22985.0
281820,케이씨텍,KOSPI,80600,1595800000000.0,22808.0
044490,태웅,KOSDAQ,40250,805300000000.0,22612.0
084370,유진테크,KOSDAQ,150200,3442000000000.0,22450.0
417840,저스템,KOSDAQ,16040,366800000000.0,22429.0
183300,코미코,KOSDAQ,30950,1589700000000.0,22244.0
347700,스피어,KOSDAQ,22600,1165100000000.0,21819.0
456010,아이씨티케이,KOSDAQ,22650,328500000000.0,20823.0
069540,빛과전자,KOSDAQ,3930,442900000000.0,20496.0
053260,금강철강,KOSDAQ,7280,136300000000.0,20442.0
192650,드림텍,KOSPI,8540,562700000000.0,20393.0
001450,현대해상,KOSPI,47450,4045000000000.0,20199.0
058610,에스피지,KOSDAQ,99100,2197800000000.0,20003.0
195870,해성디에스,KOSPI,60100,1021700000000.0,19960.0
214450,파마리서치,KOSDAQ,323500,3361100000000.0,19623.0
024060,흥구석유,KOSDAQ,12490,187400000000.0,19204.0
323280,태성,KOSDAQ,46550,1421500000000.0,18680.0
226950,올릭스,KOSDAQ,102800,2338800000000.0,18649.0
